trial,time,id,Date,fix_time,response,side_1_stim,side_2_stim,latency,Block,Mu,SD,head,outcome,task,gamble_trial,loss,est_mu,est_low,est_high,conf_mu,conf_range,current_task,sure_option
1,133753,,03/06/2022,0.687,6666,1,7,736,training,-6,HL,0,0,img,no,-11,NA,NA,NA,NA,NA,img,NA
1,133759,,03/06/2022,0.783,6666,1,7,537,training,-6,HL,0,1,img,no,-3,NA,NA,NA,NA,NA,img,NA
1,133805,,03/06/2022,0.92,6666,1,7,258.3,training,-6,HL,0,1,img,no,-2,NA,NA,NA,NA,NA,img,NA
1,133811,,03/06/2022,0.789,6666,1,7,344.9,training,-6,HL,0,0,img,no,-11,NA,NA,NA,NA,NA,img,NA
1,133817,,03/06/2022,0.661,6666,1,7,274.8,training,-6,HL,0,0,img,no,-10,NA,NA,NA,NA,NA,img,NA
1,133823,,03/06/2022,0.756,6666,1,7,279.3,training,-6,HL,0,0,img,no,-10,NA,NA,NA,NA,NA,img,NA
1,133829,,03/06/2022,0.539,6666,1,7,323,training,-6,HL,0,0,img,no,-9,NA,NA,NA,NA,NA,img,NA
1,133835,,03/06/2022,0.831,6666,1,7,609.7,training,-6,HL,0,1,img,no,-1,NA,NA,NA,NA,NA,img,NA
1,133841,,03/06/2022,0.893,6666,1,7,368.6,training,-6,HL,0,1,img,no,-1,NA,NA,NA,NA,NA,img,NA
1,133847,,03/06/2022,0.779,6666,1,7,298.9,training,-6,HL,0,0,img,no,-9,NA,NA,NA,NA,NA,img,NA
1,133853,,03/06/2022,0.667,6666,1,7,2335.8,training,-6,HL,0,1,img,no,-3,NA,NA,NA,NA,NA,img,NA
1,133901,,03/06/2022,0.679,6666,1,7,750.5,training,-6,HL,0,1,img,no,-2,NA,NA,NA,NA,NA,img,NA
1,133912,,03/06/2022,0.4,0,1,7,529,training,-6,HL,0,NA,img,yes,-1.5,NA,NA,NA,NA,NA,NA,-3
1,133913,,03/06/2022,0.4,1,1,7,277.5,training,-6,HL,0,NA,img,yes,-11,NA,NA,NA,NA,NA,NA,-11
1,133914,,03/06/2022,0.4,0,1,7,141.8,training,-6,HL,0,NA,img,yes,-5,NA,NA,NA,NA,NA,NA,-10
1,133914,,03/06/2022,0.4,1,1,7,77.1,training,-6,HL,0,NA,img,yes,-11,NA,NA,NA,NA,NA,NA,-2
1,133915,,03/06/2022,0.4,1,1,7,303.3,training,-6,HL,0,NA,img,yes,-3,NA,NA,NA,NA,NA,NA,-9
1,133916,,03/06/2022,0.4,0,1,7,220.4,training,-6,HL,0,NA,img,yes,-0.5,NA,NA,NA,NA,NA,NA,-1
1,133916,,03/06/2022,0.4,1,1,7,137.5,training,-6,HL,0,NA,img,yes,-10,NA,NA,NA,NA,NA,NA,-2
1,133917,,03/06/2022,0.4,0,1,7,110.3,training,-6,HL,0,NA,img,yes,-4.5,NA,NA,NA,NA,NA,NA,-9
1,133918,,03/06/2022,0.4,1,1,7,142.3,training,-6,HL,0,NA,img,yes,-2,NA,NA,NA,NA,NA,NA,-10
1,133918,,03/06/2022,0.4,0,1,7,125.6,training,-6,HL,0,NA,img,yes,-0.5,NA,NA,NA,NA,NA,NA,-1
1,133919,,03/06/2022,0.4,1,1,7,82.2,training,-6,HL,0,NA,img,yes,-11,NA,NA,NA,NA,NA,NA,-11
1,133919,,03/06/2022,0.4,0,1,7,391.3,training,-6,HL,0,NA,img,yes,-1.5,NA,NA,NA,NA,NA,NA,-3
1,133920,,03/06/2022,0.4,1,1,7,258.1,training,-6,HL,0,NA,img,yes,-9,NA,NA,NA,NA,NA,NA,-10
1,133921,,03/06/2022,0.4,0,1,7,56.3,training,-6,HL,0,NA,img,yes,-4.5,NA,NA,NA,NA,NA,NA,-9
1,133922,,03/06/2022,0.4,1,1,7,100.9,training,-6,HL,0,NA,img,yes,-2,NA,NA,NA,NA,NA,NA,-2
1,133922,,03/06/2022,0.4,0,1,7,71.7,training,-6,HL,0,NA,img,yes,-1.5,NA,NA,NA,NA,NA,NA,-3
1,133923,,03/06/2022,0.4,1,1,7,150.2,training,-6,HL,0,NA,img,yes,-3,NA,NA,NA,NA,NA,NA,-11
1,133923,,03/06/2022,0.4,0,1,7,101.8,training,-6,HL,0,NA,img,yes,-0.5,NA,NA,NA,NA,NA,NA,-1
1,133924,,03/06/2022,0.4,1,1,7,479.2,training,-6,HL,0,NA,img,yes,-1,NA,NA,NA,NA,NA,NA,-3
1,133925,,03/06/2022,0.4,0,1,7,181.2,training,-6,HL,0,NA,img,yes,-0.5,NA,NA,NA,NA,NA,NA,-1
1,133925,,03/06/2022,0.4,1,1,7,106.9,training,-6,HL,0,NA,img,yes,-10,NA,NA,NA,NA,NA,NA,-11
1,133926,,03/06/2022,0.4,0,1,7,175.1,training,-6,HL,0,NA,img,yes,-5,NA,NA,NA,NA,NA,NA,-10
1,133927,,03/06/2022,0.4,1,1,7,85.2,training,-6,HL,0,NA,img,yes,-2,NA,NA,NA,NA,NA,NA,-9
1,133927,,03/06/2022,0.4,1,1,7,150.1,training,-6,HL,0,NA,img,yes,-2,NA,NA,NA,NA,NA,NA,-2
1,133928,,03/06/2022,0.4,1,1,7,175.3,training,-6,HL,0,NA,img,yes,-1,NA,NA,NA,NA,NA,NA,-2
1,133929,,03/06/2022,0.4,1,1,7,174.6,training,-6,HL,0,NA,img,yes,-10,NA,NA,NA,NA,NA,NA,-1
1,133929,,03/06/2022,0.4,1,1,7,169,training,-6,HL,0,NA,img,yes,-1,NA,NA,NA,NA,NA,NA,-10
1,133930,,03/06/2022,0.4,0,1,7,89.5,training,-6,HL,0,NA,img,yes,-4.5,NA,NA,NA,NA,NA,NA,-9
1,133930,,03/06/2022,0.4,1,1,7,58.4,training,-6,HL,0,NA,img,yes,-3,NA,NA,NA,NA,NA,NA,-11
1,133931,,03/06/2022,0.4,0,1,7,109.2,training,-6,HL,0,NA,img,yes,-1.5,NA,NA,NA,NA,NA,NA,-3
1,133943,,03/06/2022,NA,NA,1,7,NA,training,-6,HL,0,1,img,no,NA,-6,-0.9,-12,18.7,19,NA,NA
