trial,time,id,Date,fix_time,response,side_1_stim,side_2_stim,latency,Block,Mu,SD,head,outcome,task,gamble_trial,loss,est_mu,est_low,est_high,conf_mu,conf_range,current_task,use_imagery,sure_option
trial_learning: 0,114901,9999,2023-05-02,NA,6666,4,7,17053.899999999998,training,-10,['LH'],False,NA,comb,no,-12.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 1,114924,9999,2023-05-02,NA,6666,5,6,3068.0,training,-10,['HL'],False,NA,comb,no,-10.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 2,114932,9999,2023-05-02,NA,6666,4,7,55990.200000000004,training,-10,['LH'],True,NA,comb,no,-10.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 3,115033,9999,2023-05-02,NA,6666,5,6,559.5,training,-10,['HL'],False,NA,comb,no,-11.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 4,115039,9999,2023-05-02,NA,6666,4,7,1369.6999999999998,training,-10,['LH'],False,NA,comb,no,-17.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 5,115045,9999,2023-05-02,NA,6666,4,7,705.2,training,-10,['LH'],True,NA,comb,no,-3.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 6,115051,9999,2023-05-02,NA,6666,4,7,630.5,training,-10,['LH'],True,NA,comb,no,-3.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 7,115056,9999,2023-05-02,NA,6666,5,6,854.1999999999999,training,-10,['HL'],True,NA,comb,no,-8.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 8,115102,9999,2023-05-02,NA,6666,5,6,869.8000000000001,training,-10,['HL'],True,NA,comb,no,-8.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 9,115108,9999,2023-05-02,NA,6666,4,7,681.8,training,-10,['LH'],True,NA,comb,no,-4.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 10,115113,9999,2023-05-02,NA,6666,5,6,709.2,training,-10,['HL'],True,NA,comb,no,-5.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 11,115119,9999,2023-05-02,NA,6666,5,6,1269.8,training,-10,['HL'],False,NA,comb,no,-15.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 12,115125,9999,2023-05-02,NA,6666,4,7,1158.5,training,-10,['LH'],False,NA,comb,no,-11.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 13,115131,9999,2023-05-02,NA,6666,4,7,1256.3,training,-10,['LH'],False,NA,comb,no,-15.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 14,115137,9999,2023-05-02,NA,6666,5,6,1331.3999999999999,training,-10,['HL'],False,NA,comb,no,-17.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 15,115144,9999,2023-05-02,NA,6666,4,7,1846.1000000000001,training,-10,['LH'],False,NA,comb,no,-10.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 16,115151,9999,2023-05-02,NA,6666,4,7,1214.6,training,-10,['LH'],False,NA,comb,no,-15.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 17,115157,9999,2023-05-02,NA,6666,5,6,1663.7,training,-10,['HL'],True,NA,comb,no,-3.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 18,115203,9999,2023-05-02,NA,6666,5,6,1007.5000000000001,training,-10,['HL'],True,NA,comb,no,-9.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 19,115209,9999,2023-05-02,NA,6666,5,6,1480.3,training,-10,['HL'],False,NA,comb,no,-10.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 20,115216,9999,2023-05-02,NA,6666,4,7,1482.0,training,-10,['LH'],False,NA,comb,no,-16.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 21,115222,9999,2023-05-02,NA,6666,5,6,1169.4,training,-10,['HL'],False,NA,comb,no,-15.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 22,115228,9999,2023-05-02,NA,6666,4,7,1479.7,training,-10,['LH'],True,NA,comb,no,-9.0,NA,NA,NA,NA,NA,img,NA,NA
