trial,time,id,Date,fix_time,response,side_1_stim,side_2_stim,latency,Block,Mu,SD,head,outcome,task,gamble_trial,loss,est_mu,est_low,est_high,conf_mu,conf_range,current_task,use_imagery,sure_option
trial_learning: 0,093535,1011,2024-01-03,NA,6666,8,9,26747.0,training,-10,['MM'],True,NA,comb,no,-12.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 1,093606,1011,2024-01-03,NA,6666,8,9,34556.8,training,-10,['MM'],False,NA,comb,no,-6.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 2,093646,1011,2024-01-03,NA,6666,8,9,16851.4,training,-10,['MM'],False,NA,comb,no,-8.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 3,093708,1011,2024-01-03,NA,6666,8,9,47253.6,training,-10,['MM'],True,NA,comb,no,-14.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 4,093800,1011,2024-01-03,NA,6666,8,9,36749.299999999996,training,-10,['MM'],False,NA,comb,no,-7.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 5,093842,1011,2024-01-03,NA,6666,8,9,7908.400000000001,training,-10,['MM'],True,NA,comb,no,-13.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 6,093855,1011,2024-01-03,NA,6666,8,9,7475.799999999999,training,-10,['MM'],False,NA,comb,no,-6.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 7,093907,1011,2024-01-03,NA,6666,8,9,4953.8,training,-10,['MM'],False,NA,comb,no,-6.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 8,093917,1011,2024-01-03,NA,6666,8,9,10515.599999999999,training,-10,['MM'],False,NA,comb,no,-8.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 9,093932,1011,2024-01-03,NA,6666,8,9,73198.7,training,-10,['MM'],True,NA,comb,no,-12.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 10,094050,1011,2024-01-03,NA,6666,8,9,1770.6,training,-10,['MM'],False,NA,comb,no,-8.0,NA,NA,NA,NA,NA,view,NA,NA
