trial,time,id,Date,text_stim,text_time,fix_time,match_array,response,image_stim,latency,Block
0,090925,1005,2023-05-03,6,0.371,0.806,0,0,7,789.4,0
1,090928,1005,2023-05-03,0,0.388,0.63,1,1,0,396.9,0
2,090930,1005,2023-05-03,4,0.36,0.517,1,1,4,372.09999999999997,0
3,090932,1005,2023-05-03,3,0.311,0.594,1,1,3,347.0,0
4,090934,1005,2023-05-03,5,0.27,0.942,1,0,5,308.5,0
5,090936,1005,2023-05-03,6,0.32,0.911,1,999,6,1000.0,0
6,090939,1005,2023-05-03,2,0.334,0.797,1,999,2,1000.0,0
7,090942,1005,2023-05-03,1,0.356,0.539,1,1,1,371.59999999999997,0
8,090944,1005,2023-05-03,0,0.351,0.773,1,1,0,420.20000000000005,0
9,090946,1005,2023-05-03,7,0.375,0.648,1,1,7,356.9,0
10,090948,1005,2023-05-03,6,0.271,0.557,1,1,6,446.0,0
11,090950,1005,2023-05-03,2,0.258,0.551,1,1,2,358.8,0
12,090952,1005,2023-05-03,1,0.361,0.567,1,1,1,397.2,0
13,090954,1005,2023-05-03,6,0.305,0.569,0,0,4,362.4,0
14,090956,1005,2023-05-03,5,0.36,0.611,1,1,5,406.4,0
15,090958,1005,2023-05-03,3,0.358,0.911,1,1,3,320.7,0
16,091000,1005,2023-05-03,1,0.385,0.601,1,1,1,492.4,0
17,091002,1005,2023-05-03,5,0.277,0.966,1,1,5,339.9,0
18,091004,1005,2023-05-03,0,0.341,0.536,1,1,0,438.40000000000003,0
19,091006,1005,2023-05-03,6,0.323,0.623,1,1,6,315.40000000000003,0
20,091008,1005,2023-05-03,1,0.312,0.78,0,1,4,267.5,0
21,091010,1005,2023-05-03,3,0.297,0.748,1,1,3,262.79999999999995,0
22,091012,1005,2023-05-03,2,0.397,0.684,1,1,2,326.29999999999995,0
23,091014,1005,2023-05-03,7,0.339,0.563,1,1,7,333.0,0
24,091016,1005,2023-05-03,5,0.336,0.624,1,1,5,255.1,0
25,091018,1005,2023-05-03,1,0.382,0.922,1,1,1,390.0,0
