trial,time,id,Date,fix_time,response,side_1_stim,side_2_stim,latency,Block,Mu,SD,head,outcome,task,gamble_trial,loss,est_mu,est_low,est_high,conf_mu,conf_range,current_task,use_imagery,sure_option
trial_learning: 0,095401,,06/03/2024,NA,6666,8,9,410.4,training,-10,['MM'],FALSE,NA,comb,no,-6,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 1,095407,,06/03/2024,NA,6666,8,9,13.100000000000001,training,-10,['MM'],FALSE,NA,comb,no,-6,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 2,095412,,06/03/2024,NA,6666,8,9,156.70000000000002,training,-10,['MM'],TRUE,NA,comb,no,-12,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 3,095417,,06/03/2024,NA,6666,8,9,109.89999999999999,training,-10,['MM'],FALSE,NA,comb,no,-6,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 4,095422,,06/03/2024,NA,6666,8,9,49.4,training,-10,['MM'],TRUE,NA,comb,no,-13,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 5,095427,,06/03/2024,NA,6666,8,9,194,training,-10,['MM'],TRUE,NA,comb,no,-12,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 6,095432,,06/03/2024,NA,6666,8,9,71.1,training,-10,['MM'],FALSE,NA,comb,no,-7,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 7,095437,,06/03/2024,NA,6666,8,9,21,training,-10,['MM'],TRUE,NA,comb,no,-13,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 8,095442,,06/03/2024,NA,6666,8,9,158.20000000000002,training,-10,['MM'],TRUE,NA,comb,no,-14,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 9,095447,,06/03/2024,NA,6666,8,9,119.3,training,-10,['MM'],FALSE,NA,comb,no,-6,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 10,095452,,06/03/2024,NA,6666,8,9,86.6,training,-10,['MM'],TRUE,NA,comb,no,-12,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 11,095457,,06/03/2024,NA,6666,8,9,319.90000000000003,training,-10,['MM'],TRUE,NA,comb,no,-13,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 12,095502,,06/03/2024,NA,6666,8,9,82.8,training,-10,['MM'],FALSE,NA,comb,no,-7,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 13,095507,,06/03/2024,NA,6666,8,9,180.29999999999998,training,-10,['MM'],FALSE,NA,comb,no,-8,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 14,095512,,06/03/2024,NA,6666,8,9,177.9,training,-10,['MM'],TRUE,NA,comb,no,-12,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 15,095517,,06/03/2024,NA,6666,8,9,158.70000000000002,training,-10,['MM'],FALSE,NA,comb,no,-7,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 16,095523,,06/03/2024,NA,6666,8,9,65.10000000000001,training,-10,['MM'],FALSE,NA,comb,no,-8,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 17,095528,,06/03/2024,NA,6666,8,9,63.70000000000001,training,-10,['MM'],TRUE,NA,comb,no,-14,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 18,095533,,06/03/2024,NA,6666,8,9,250.6,training,-10,['MM'],TRUE,NA,comb,no,-14,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 19,095538,,06/03/2024,NA,6666,8,9,11.4,training,-10,['MM'],FALSE,NA,comb,no,-8,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 20,095543,,06/03/2024,NA,6666,8,9,105.2,training,-10,['MM'],TRUE,NA,comb,no,-13,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 21,095548,,06/03/2024,NA,6666,8,9,112.9,training,-10,['MM'],FALSE,NA,comb,no,-8,NA,NA,NA,NA,NA,img,NA,NA
