trial,time,id,Date,fix_time,response,side_1_stim,side_2_stim,latency,Block,Mu,SD,head,outcome,task,gamble_trial,loss,est_mu,est_low,est_high,conf_mu,conf_range,current_task,use_imagery,sure_option
trial_learning: 0,170004,1008,2023-05-10,NA,6666,8,9,19280.0,training,-10,['MM'],False,NA,comb,no,-8.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 1,170028,1008,2023-05-10,NA,6666,8,9,9871.800000000001,training,-10,['MM'],True,NA,comb,no,-14.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 2,170043,1008,2023-05-10,NA,6666,8,9,24200.7,training,-10,['MM'],False,NA,comb,no,-8.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 3,170112,1008,2023-05-10,NA,6666,8,9,14978.0,training,-10,['MM'],False,NA,comb,no,-8.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 4,170132,1008,2023-05-10,NA,6666,8,9,10178.4,training,-10,['MM'],True,NA,comb,no,-12.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 5,170147,1008,2023-05-10,NA,6666,8,9,2908.3,training,-10,['MM'],True,NA,comb,no,-12.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 6,170155,1008,2023-05-10,NA,6666,8,9,1814.5,training,-10,['MM'],True,NA,comb,no,-12.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 7,170202,1008,2023-05-10,NA,6666,8,9,1802.8,training,-10,['MM'],False,NA,comb,no,-7.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 8,170209,1008,2023-05-10,NA,6666,8,9,1615.3999999999999,training,-10,['MM'],False,NA,comb,no,-6.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 9,170215,1008,2023-05-10,NA,6666,8,9,1213.5,training,-10,['MM'],True,NA,comb,no,-14.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 10,170221,1008,2023-05-10,NA,6666,8,9,796.2,training,-10,['MM'],True,NA,comb,no,-13.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 11,170227,1008,2023-05-10,NA,6666,8,9,249.5,training,-10,['MM'],False,NA,comb,no,-6.0,NA,NA,NA,NA,NA,img,NA,NA
loop: 0_option: 0,170335,1008,2023-05-10,0.4,1,8,9,25041.0,training,-10,MM,0,NA,comb,yes,-14,NA,NA,NA,NA,NA,NA,0,-7
loop: 0_option: 1,170401,1008,2023-05-10,0.4,0,8,9,3989.3999999999996,training,-10,MM,0,NA,comb,yes,-6,NA,NA,NA,NA,NA,NA,0,-6
loop: 0_option: 2,170405,1008,2023-05-10,0.4,0,8,9,15206.9,training,-10,MM,0,NA,comb,yes,-14,NA,NA,NA,NA,NA,NA,0,-14
loop: 0_option: 3,170421,1008,2023-05-10,0.4,0,8,9,132.39999999999998,training,-10,MM,0,NA,comb,yes,-7,NA,NA,NA,NA,NA,NA,0,-7
loop: 0_option: 4,170422,1008,2023-05-10,0.4,0,8,9,198.5,training,-10,MM,0,NA,comb,yes,-12,NA,NA,NA,NA,NA,NA,0,-12
loop: 0_option: 5,170422,1008,2023-05-10,0.4,0,8,9,181.5,training,-10,MM,0,NA,comb,yes,-6,NA,NA,NA,NA,NA,NA,0,-6
loop: 0_option: 6,170423,1008,2023-05-10,0.4,0,8,9,199.0,training,-10,MM,0,NA,comb,yes,-13,NA,NA,NA,NA,NA,NA,0,-13
loop: 0_option: 7,170424,1008,2023-05-10,0.4,0,8,9,293.7,training,-10,MM,0,NA,comb,yes,-13,NA,NA,NA,NA,NA,NA,0,-13
loop: 0_option: 8,170425,1008,2023-05-10,0.4,0,8,9,295.3,training,-10,MM,0,NA,comb,yes,-8,NA,NA,NA,NA,NA,NA,0,-8
loop: 0_option: 9,170425,1008,2023-05-10,0.4,0,8,9,197.8,training,-10,MM,0,NA,comb,yes,-14,NA,NA,NA,NA,NA,NA,0,-14
loop: 0_option: 10,170426,1008,2023-05-10,0.4,0,8,9,166.5,training,-10,MM,0,NA,comb,yes,-8,NA,NA,NA,NA,NA,NA,0,-8
loop: 0_option: 11,170427,1008,2023-05-10,0.4,0,8,9,181.4,training,-10,MM,0,NA,comb,yes,-12,NA,NA,NA,NA,NA,NA,0,-12
loop: 1_option: 0,170450,1008,2023-05-10,0.4,0,8,9,4973.200000000001,training,-10,MM,0,NA,comb,yes,-8,NA,NA,NA,NA,NA,NA,1,-8
loop: 1_option: 1,170455,1008,2023-05-10,0.4,1,8,9,1701.4,training,-10,MM,0,NA,comb,yes,-12,NA,NA,NA,NA,NA,NA,1,-12
loop: 1_option: 2,170457,1008,2023-05-10,0.4,1,8,9,1398.9,training,-10,MM,0,NA,comb,yes,-14,NA,NA,NA,NA,NA,NA,1,-14
loop: 1_option: 3,170459,1008,2023-05-10,0.4,1,8,9,2053.4,training,-10,MM,0,NA,comb,yes,-14,NA,NA,NA,NA,NA,NA,1,-14
loop: 1_option: 4,170502,1008,2023-05-10,0.4,0,8,9,1943.4,training,-10,MM,0,NA,comb,yes,-12,NA,NA,NA,NA,NA,NA,1,-12
loop: 1_option: 5,170504,1008,2023-05-10,0.4,0,8,9,1381.6,training,-10,MM,0,NA,comb,yes,-13,NA,NA,NA,NA,NA,NA,1,-13
loop: 1_option: 6,170506,1008,2023-05-10,0.4,0,8,9,871.4,training,-10,MM,0,NA,comb,yes,-7,NA,NA,NA,NA,NA,NA,1,-7
loop: 1_option: 7,170507,1008,2023-05-10,0.4,0,8,9,773.4,training,-10,MM,0,NA,comb,yes,-7,NA,NA,NA,NA,NA,NA,1,-7
loop: 1_option: 8,170509,1008,2023-05-10,0.4,0,8,9,1031.1999999999998,training,-10,MM,0,NA,comb,yes,-13,NA,NA,NA,NA,NA,NA,1,-13
