trial,time,id,Date,fix_time,response,side_1_stim,side_2_stim,latency,Block,Mu,SD,head,outcome,task,gamble_trial,loss,est_mu,est_low,est_high,conf_mu,conf_range,current_task,use_imagery,sure_option
trial_learning: 0,091423,1009,2023-05-17,NA,6666,8,9,37271.6,training,-10,['MM'],True,NA,comb,no,-14.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 1,091505,1009,2023-05-17,NA,6666,8,9,13004.099999999999,training,-10,['MM'],False,NA,comb,no,-7.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 2,091523,1009,2023-05-17,NA,6666,8,9,14245.2,training,-10,['MM'],False,NA,comb,no,-6.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 3,091543,1009,2023-05-17,NA,6666,8,9,2894.0,training,-10,['MM'],True,NA,comb,no,-12.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 4,091550,1009,2023-05-17,NA,6666,8,9,1993.1000000000001,training,-10,['MM'],True,NA,comb,no,-12.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 5,091557,1009,2023-05-17,NA,6666,8,9,3447.0,training,-10,['MM'],False,NA,comb,no,-7.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 6,091606,1009,2023-05-17,NA,6666,8,9,1276.8999999999999,training,-10,['MM'],False,NA,comb,no,-7.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 7,091612,1009,2023-05-17,NA,6666,8,9,1732.9,training,-10,['MM'],False,NA,comb,no,-7.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 8,091619,1009,2023-05-17,NA,6666,8,9,826.8,training,-10,['MM'],False,NA,comb,no,-6.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 9,091624,1009,2023-05-17,NA,6666,8,9,988.1999999999999,training,-10,['MM'],False,NA,comb,no,-6.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 10,091630,1009,2023-05-17,NA,6666,8,9,1041.1999999999998,training,-10,['MM'],False,NA,comb,no,-8.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 11,091636,1009,2023-05-17,NA,6666,8,9,1733.3,training,-10,['MM'],False,NA,comb,no,-8.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 12,091643,1009,2023-05-17,NA,6666,8,9,843.1999999999999,training,-10,['MM'],False,NA,comb,no,-8.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 13,091649,1009,2023-05-17,NA,6666,8,9,1657.4,training,-10,['MM'],True,NA,comb,no,-13.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 14,091655,1009,2023-05-17,NA,6666,8,9,2210.7000000000003,training,-10,['MM'],False,NA,comb,no,-8.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 15,091702,1009,2023-05-17,NA,6666,8,9,951.2,training,-10,['MM'],True,NA,comb,no,-12.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 16,091708,1009,2023-05-17,NA,6666,8,9,1071.6000000000001,training,-10,['MM'],True,NA,comb,no,-14.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 17,091714,1009,2023-05-17,NA,6666,8,9,1137.3999999999999,training,-10,['MM'],True,NA,comb,no,-14.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 18,091720,1009,2023-05-17,NA,6666,8,9,1984.1,training,-10,['MM'],True,NA,comb,no,-13.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 19,091727,1009,2023-05-17,NA,6666,8,9,11953.6,training,-10,['MM'],True,NA,comb,no,-13.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 20,091744,1009,2023-05-17,NA,6666,8,9,1909.0,training,-10,['MM'],True,NA,comb,no,-12.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 21,091751,1009,2023-05-17,NA,6666,8,9,1156.0,training,-10,['MM'],True,NA,comb,no,-14.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 22,091757,1009,2023-05-17,NA,6666,8,9,1059.1999999999998,training,-10,['MM'],True,NA,comb,no,-13.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 23,091803,1009,2023-05-17,NA,6666,8,9,644.5999999999999,training,-10,['MM'],False,NA,comb,no,-6.0,NA,NA,NA,NA,NA,view,NA,NA
loop: 0_option: 0,091921,1009,2023-05-17,0.4,1,8,9,46696.9,training,-10,MM,0,NA,comb,yes,-13,NA,NA,NA,NA,NA,NA,0,-13
loop: 0_option: 1,092008,1009,2023-05-17,0.4,0,8,9,11895.5,training,-10,MM,0,NA,comb,yes,-7,NA,NA,NA,NA,NA,NA,0,-7
loop: 0_option: 2,092021,1009,2023-05-17,0.4,1,8,9,1748.3999999999999,training,-10,MM,0,NA,comb,yes,-7,NA,NA,NA,NA,NA,NA,0,-14
loop: 0_option: 3,092023,1009,2023-05-17,0.4,0,8,9,2998.8,training,-10,MM,0,NA,comb,yes,-7,NA,NA,NA,NA,NA,NA,0,-7
