trial,time,id,Date,text_stim,text_time,fix_time,match_array,response,image_stim,latency,Block
0,120225,1013,2024-01-03,0,0.259,0.873,1,0,0,745.8000000000001,0
1,120227,1013,2024-01-03,6,0.346,0.598,1,1,6,835.6,0
2,120230,1013,2024-01-03,7,0.382,0.888,1,0,7,390.0,0
3,120232,1013,2024-01-03,3,0.282,0.641,1,999,3,1000.0,0
4,120234,1013,2024-01-03,1,0.379,0.878,1,1,1,383.40000000000003,0
5,120237,1013,2024-01-03,5,0.392,0.66,1,0,5,453.40000000000003,0
6,120239,1013,2024-01-03,4,0.32,0.614,1,1,4,651.3,0
7,120241,1013,2024-01-03,2,0.272,0.521,1,999,2,1000.0,0
8,120243,1013,2024-01-03,7,0.295,0.643,0,999,6,1000.0,0
9,120246,1013,2024-01-03,2,0.319,0.751,1,0,2,455.2,0
10,120248,1013,2024-01-03,1,0.351,0.652,0,0,0,934.3000000000001,0
11,120250,1013,2024-01-03,6,0.34,0.588,0,0,5,576.6,0
12,120252,1013,2024-01-03,3,0.262,0.792,1,1,3,354.2,0
13,120254,1013,2024-01-03,2,0.332,0.874,0,0,7,557.9,0
14,120257,1013,2024-01-03,1,0.329,0.912,1,1,1,352.5,0
15,120259,1013,2024-01-03,4,0.377,0.621,1,1,4,375.59999999999997,0
16,120301,1013,2024-01-03,0,0.394,0.797,0,0,5,612.6,0
17,120303,1013,2024-01-03,4,0.369,0.814,1,1,4,334.8,0
18,120305,1013,2024-01-03,1,0.356,0.704,1,1,1,314.40000000000003,0
19,120307,1013,2024-01-03,0,0.302,0.881,1,0,0,306.0,0
20,120309,1013,2024-01-03,7,0.374,0.579,0,0,2,800.0,0
21,120311,1013,2024-01-03,6,0.294,0.663,1,1,6,325.1,0
22,120313,1013,2024-01-03,3,0.382,0.717,1,1,3,400.2,0
23,120315,1013,2024-01-03,7,0.379,0.755,1,1,7,356.4,0
24,120317,1013,2024-01-03,7,0.311,0.719,1,1,7,406.2,0
25,120319,1013,2024-01-03,0,0.264,0.901,1,1,0,383.2,0
26,120322,1013,2024-01-03,2,0.373,0.902,1,1,2,592.3000000000001,0
27,120324,1013,2024-01-03,4,0.26,0.917,1,1,4,376.3,0
28,120326,1013,2024-01-03,5,0.34,0.81,1,1,5,350.7,0
29,120328,1013,2024-01-03,6,0.389,0.722,1,1,6,497.40000000000003,0
30,120330,1013,2024-01-03,4,0.391,0.638,0,0,3,441.7,0
31,120332,1013,2024-01-03,1,0.275,0.715,1,1,1,315.2,0
32,120334,1013,2024-01-03,7,0.382,0.67,1,1,7,490.59999999999997,0
33,120336,1013,2024-01-03,5,0.327,0.824,1,1,5,520.2,0
34,120339,1013,2024-01-03,4,0.34,0.855,0,0,2,388.0,0
35,120341,1013,2024-01-03,6,0.347,0.833,1,1,6,359.70000000000005,0
36,120343,1013,2024-01-03,1,0.309,0.596,1,1,1,429.59999999999997,0
37,120345,1013,2024-01-03,0,0.266,0.833,1,0,0,523.1,0
38,120347,1013,2024-01-03,3,0.279,0.81,1,1,3,608.8,0
39,120349,1013,2024-01-03,4,0.32,0.609,1,1,4,362.59999999999997,0
40,120351,1013,2024-01-03,2,0.378,0.846,1,1,2,339.3,0
41,120353,1013,2024-01-03,0,0.348,0.884,1,1,0,421.0,0
42,120355,1013,2024-01-03,1,0.381,0.988,0,0,5,846.4000000000001,0
43,120358,1013,2024-01-03,4,0.331,0.859,0,0,6,663.2,0
44,120400,1013,2024-01-03,3,0.275,0.585,0,0,4,585.9,0
45,120402,1013,2024-01-03,7,0.318,0.54,1,999,7,1000.0,0
46,120405,1013,2024-01-03,3,0.252,0.708,1,1,3,375.3,0
47,120407,1013,2024-01-03,0,0.306,0.897,0,0,1,703.2,0
48,120409,1013,2024-01-03,6,0.273,0.702,1,1,6,377.90000000000003,0
49,120411,1013,2024-01-03,7,0.292,0.748,0,0,5,685.3000000000001,0
50,120413,1013,2024-01-03,2,0.283,0.652,0,0,4,558.1,0
51,120415,1013,2024-01-03,1,0.326,0.775,1,1,1,871.9,0
52,120418,1013,2024-01-03,2,0.392,0.815,1,1,2,545.2,0
53,120420,1013,2024-01-03,7,0.254,0.661,1,1,7,508.90000000000003,0
54,120422,1013,2024-01-03,3,0.295,0.907,1,1,3,353.6,0
55,120424,1013,2024-01-03,0,0.378,0.791,1,1,0,613.7,0
56,120427,1013,2024-01-03,2,0.272,0.638,0,0,5,809.1,0
57,120429,1013,2024-01-03,2,0.353,0.666,1,1,2,752.6,0
58,120431,1013,2024-01-03,6,0.283,0.551,1,1,6,318.90000000000003,0
59,120433,1013,2024-01-03,7,0.362,0.549,1,1,7,642.5,0
60,120435,1013,2024-01-03,1,0.344,0.875,1,1,1,266.29999999999995,0
61,120437,1013,2024-01-03,0,0.275,0.782,1,1,0,323.29999999999995,0
62,120439,1013,2024-01-03,4,0.326,0.789,1,1,4,289.9,0
63,120441,1013,2024-01-03,3,0.391,0.668,1,1,3,485.0,0
64,120443,1013,2024-01-03,4,0.397,0.983,1,1,4,335.9,0
65,120445,1013,2024-01-03,3,0.303,0.669,1,1,3,337.3,0
66,120447,1013,2024-01-03,2,0.331,0.537,0,0,5,836.3000000000001,0
67,120450,1013,2024-01-03,6,0.327,0.506,1,1,6,480.4,0
68,120451,1013,2024-01-03,1,0.32,0.87,1,1,1,365.3,0
69,120454,1013,2024-01-03,7,0.277,0.643,1,1,7,385.40000000000003,0
70,120455,1013,2024-01-03,2,0.278,0.811,1,1,2,335.7,0
71,120457,1013,2024-01-03,0,0.313,0.741,1,1,0,703.0,0
