trial,time,id,Date,fix_time,response,side_1_stim,side_2_stim,latency,Block,Mu,SD,head,outcome,task,gamble_trial,loss,est_mu,est_low,est_high,conf_mu,conf_range,current_task,use_imagery,sure_option
trial_learning: 0,110625,1012,2024-01-03,NA,6666,8,9,10389.099999999999,training,-10,['MM'],True,NA,comb,no,-12.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 1,110641,1012,2024-01-03,NA,6666,8,9,7580.599999999999,training,-10,['MM'],False,NA,comb,no,-7.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 2,110653,1012,2024-01-03,NA,6666,8,9,3764.2000000000003,training,-10,['MM'],True,NA,comb,no,-13.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 3,110702,1012,2024-01-03,NA,6666,8,9,3132.5,training,-10,['MM'],True,NA,comb,no,-14.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 4,110710,1012,2024-01-03,NA,6666,8,9,5009.2,training,-10,['MM'],True,NA,comb,no,-13.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 5,110720,1012,2024-01-03,NA,6666,8,9,1862.1000000000001,training,-10,['MM'],False,NA,comb,no,-8.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 6,110727,1012,2024-01-03,NA,6666,8,9,3416.7000000000003,training,-10,['MM'],False,NA,comb,no,-6.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 7,110735,1012,2024-01-03,NA,6666,8,9,1709.8,training,-10,['MM'],False,NA,comb,no,-8.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 8,110742,1012,2024-01-03,NA,6666,8,9,4857.0,training,-10,['MM'],False,NA,comb,no,-7.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 9,110751,1012,2024-01-03,NA,6666,8,9,3092.4,training,-10,['MM'],False,NA,comb,no,-7.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 10,110759,1012,2024-01-03,NA,6666,8,9,1350.0,training,-10,['MM'],False,NA,comb,no,-6.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 11,110806,1012,2024-01-03,NA,6666,8,9,1519.0,training,-10,['MM'],True,NA,comb,no,-12.0,NA,NA,NA,NA,NA,view,NA,NA
