trial,time,id,Date,text_stim,text_time,fix_time,match_array,response,image_stim,latency,Block
0,091904,1011,2024-01-03,3,0.342,0.702,1,999,3,1000.0,0
1,091907,1011,2024-01-03,6,0.331,0.923,0,999,4,1000.0,0
2,091909,1011,2024-01-03,7,0.268,0.703,0,999,5,1000.0,0
3,091912,1011,2024-01-03,1,0.297,0.945,1,999,1,1000.0,0
4,091915,1011,2024-01-03,1,0.261,0.527,0,0,2,629.9,0
5,091917,1011,2024-01-03,7,0.292,0.586,1,1,7,403.3,0
6,091919,1011,2024-01-03,0,0.277,0.507,1,1,0,384.1,0
7,091920,1011,2024-01-03,0,0.262,0.829,0,0,6,433.5,0
8,091922,1011,2024-01-03,7,0.281,0.824,1,1,7,322.2,0
9,091924,1011,2024-01-03,2,0.256,0.682,0,1,3,500.6,0
10,091926,1011,2024-01-03,0,0.277,0.595,1,1,0,336.0,0
11,091928,1011,2024-01-03,6,0.273,0.921,1,0,6,434.0,0
12,091930,1011,2024-01-03,3,0.313,0.883,0,0,1,385.0,0
13,091933,1011,2024-01-03,2,0.307,0.507,1,0,2,391.0,0
14,091934,1011,2024-01-03,4,0.387,0.746,1,1,4,338.3,0
15,091936,1011,2024-01-03,5,0.287,0.754,1,1,5,372.2,0
16,091938,1011,2024-01-03,3,0.358,0.657,0,0,5,436.0,0
17,091940,1011,2024-01-03,2,0.391,0.924,1,0,2,368.09999999999997,0
18,091943,1011,2024-01-03,6,0.307,0.651,1,0,6,370.40000000000003,0
19,091944,1011,2024-01-03,4,0.394,0.934,1,1,4,306.3,0
20,091947,1011,2024-01-03,1,0.324,0.76,1,1,1,358.59999999999997,0
21,091949,1011,2024-01-03,1,0.364,0.532,0,0,0,588.5,0
22,091951,1011,2024-01-03,3,0.336,0.815,1,1,3,261.2,0
23,091953,1011,2024-01-03,6,0.364,0.927,0,0,7,795.9000000000001,0
24,091955,1011,2024-01-03,0,0.337,0.534,1,1,0,333.3,0
25,091957,1011,2024-01-03,7,0.331,0.766,1,1,7,313.0,0
26,091959,1011,2024-01-03,6,0.361,0.796,1,0,6,330.6,0
27,092001,1011,2024-01-03,2,0.392,0.55,1,0,2,421.8,0
28,092003,1011,2024-01-03,5,0.299,0.568,1,1,5,341.6,0
29,092005,1011,2024-01-03,1,0.384,0.562,1,1,1,360.3,0
30,092007,1011,2024-01-03,3,0.391,0.869,1,1,3,309.59999999999997,0
31,092009,1011,2024-01-03,4,0.353,0.89,1,1,4,327.79999999999995,0
32,092011,1011,2024-01-03,7,0.39,0.628,1,1,7,319.1,0
33,092013,1011,2024-01-03,6,0.31,0.56,0,1,4,387.90000000000003,0
34,092015,1011,2024-01-03,5,0.317,0.597,1,1,5,324.40000000000003,0
35,092016,1011,2024-01-03,3,0.264,0.835,1,1,3,391.0,0
36,092018,1011,2024-01-03,1,0.316,0.705,1,1,1,393.2,0
37,092020,1011,2024-01-03,7,0.285,0.51,0,0,6,452.6,0
38,092022,1011,2024-01-03,2,0.345,0.892,1,1,2,340.9,0
39,092024,1011,2024-01-03,3,0.255,0.999,0,0,0,370.09999999999997,0
40,092027,1011,2024-01-03,1,0.26,0.818,1,1,1,332.2,0
41,092028,1011,2024-01-03,6,0.284,0.998,1,0,6,322.5,0
42,092031,1011,2024-01-03,5,0.283,0.509,1,1,5,303.0,0
43,092032,1011,2024-01-03,4,0.374,0.877,1,1,4,287.6,0
44,092034,1011,2024-01-03,3,0.25,0.844,1,1,3,301.5,0
45,092036,1011,2024-01-03,7,0.317,0.663,0,0,2,869.9,0
46,092039,1011,2024-01-03,0,0.259,0.836,1,1,0,298.9,0
47,092041,1011,2024-01-03,7,0.252,0.688,1,1,7,365.70000000000005,0
48,092043,1011,2024-01-03,7,0.392,0.926,0,0,0,411.9,0
49,092045,1011,2024-01-03,5,0.328,0.858,1,1,5,515.7,0
50,092047,1011,2024-01-03,6,0.254,0.532,1,1,6,338.0,0
51,092049,1011,2024-01-03,7,0.297,0.938,0,0,1,450.40000000000003,0
52,092051,1011,2024-01-03,3,0.267,0.583,1,1,3,286.8,0
53,092053,1011,2024-01-03,4,0.372,0.74,1,1,4,370.5,0
54,092055,1011,2024-01-03,7,0.385,0.879,1,1,7,355.6,0
55,092057,1011,2024-01-03,2,0.322,0.807,1,1,2,275.0,0
56,092059,1011,2024-01-03,1,0.327,0.642,1,1,1,489.5,0
57,092101,1011,2024-01-03,1,0.252,0.902,0,0,7,533.5,0
58,092103,1011,2024-01-03,5,0.313,0.942,1,1,5,298.5,0
59,092105,1011,2024-01-03,6,0.283,0.605,1,0,6,462.6,0
60,092107,1011,2024-01-03,3,0.34,0.844,1,1,3,289.6,0
61,092109,1011,2024-01-03,2,0.369,0.561,1,1,2,471.3,0
62,092111,1011,2024-01-03,0,0.31,0.552,1,1,0,385.2,0
63,092113,1011,2024-01-03,4,0.391,0.733,1,1,4,397.1,0
64,092115,1011,2024-01-03,5,0.388,0.794,1,1,5,289.3,0
65,092117,1011,2024-01-03,0,0.286,0.821,0,0,4,417.6,0
66,092119,1011,2024-01-03,6,0.318,0.558,1,1,6,541.1,0
67,092121,1011,2024-01-03,2,0.288,0.762,1,1,2,473.0,0
68,092123,1011,2024-01-03,0,0.383,0.889,1,1,0,349.3,0
69,092125,1011,2024-01-03,3,0.263,0.869,1,1,3,284.6,0
70,092127,1011,2024-01-03,7,0.387,0.881,1,1,7,464.7,0
71,092130,1011,2024-01-03,1,0.258,0.83,1,1,1,379.0,0
72,092132,1011,2024-01-03,5,0.355,0.822,1,1,5,446.2,0
73,092134,1011,2024-01-03,4,0.315,0.881,0,0,7,572.4,0
74,092136,1011,2024-01-03,1,0.251,0.844,1,1,1,492.9,0
75,092138,1011,2024-01-03,0,0.257,0.876,1,1,0,340.7,0
76,092140,1011,2024-01-03,2,0.254,0.652,1,1,2,338.0,0
77,092142,1011,2024-01-03,6,0.308,0.536,0,0,3,580.0,0
78,092144,1011,2024-01-03,6,0.355,0.509,1,0,6,478.3,0
79,092146,1011,2024-01-03,5,0.268,0.938,0,0,4,467.3,0
80,092148,1011,2024-01-03,6,0.319,0.955,1,1,6,523.7,0
81,092151,1011,2024-01-03,7,0.261,0.513,1,1,7,666.6,0
82,092153,1011,2024-01-03,0,0.35,0.912,1,1,0,401.9,0
83,092155,1011,2024-01-03,5,0.3,0.882,1,1,5,441.59999999999997,0
84,092157,1011,2024-01-03,2,0.364,0.952,1,1,2,517.8000000000001,0
85,092159,1011,2024-01-03,3,0.276,0.754,1,1,3,371.3,0
86,092201,1011,2024-01-03,4,0.381,0.878,1,1,4,359.70000000000005,0
87,092204,1011,2024-01-03,1,0.259,0.992,1,1,1,432.09999999999997,0
88,092206,1011,2024-01-03,3,0.289,0.64,1,1,3,570.6,0
89,092208,1011,2024-01-03,6,0.311,0.522,1,1,6,590.0,0
90,092210,1011,2024-01-03,5,0.386,0.895,1,1,5,324.90000000000003,0
91,092212,1011,2024-01-03,2,0.376,0.666,1,1,2,455.29999999999995,0
92,092214,1011,2024-01-03,0,0.328,0.893,1,1,0,359.8,0
93,092216,1011,2024-01-03,4,0.251,0.775,1,1,4,386.90000000000003,0
94,092218,1011,2024-01-03,1,0.333,0.726,1,1,1,352.3,0
95,092220,1011,2024-01-03,5,0.31,0.518,0,0,7,472.6,0
96,092222,1011,2024-01-03,1,0.367,0.909,1,1,1,389.5,0
97,092224,1011,2024-01-03,6,0.317,0.943,1,1,6,352.3,0
98,092226,1011,2024-01-03,5,0.337,0.881,1,1,5,566.3000000000001,0
99,092229,1011,2024-01-03,2,0.33,0.997,1,1,2,434.09999999999997,0
100,092231,1011,2024-01-03,3,0.322,0.965,1,1,3,312.0,0
101,092233,1011,2024-01-03,0,0.356,0.646,1,1,0,413.1,0
102,092235,1011,2024-01-03,4,0.275,0.635,1,1,4,400.1,0
103,092237,1011,2024-01-03,4,0.334,0.93,0,0,7,564.6999999999999,0
104,092239,1011,2024-01-03,2,0.347,0.768,0,0,1,520.9,0
105,092242,1011,2024-01-03,2,0.253,0.552,1,1,2,449.90000000000003,0
106,092243,1011,2024-01-03,3,0.343,0.821,1,1,3,333.9,0
107,092245,1011,2024-01-03,2,0.386,0.715,0,0,7,489.59999999999997,0
108,092248,1011,2024-01-03,5,0.388,0.977,1,1,5,439.90000000000003,0
109,092250,1011,2024-01-03,4,0.328,0.712,1,1,4,446.6,0
110,092252,1011,2024-01-03,1,0.26,0.921,0,999,0,1000.0,0
111,092255,1011,2024-01-03,6,0.376,0.807,1,1,6,432.8,0
112,092257,1011,2024-01-03,4,0.332,0.536,1,1,4,414.1,0
113,092259,1011,2024-01-03,5,0.268,0.869,1,1,5,386.6,0
114,092301,1011,2024-01-03,2,0.277,0.567,1,1,2,320.6,0
115,092303,1011,2024-01-03,6,0.269,0.532,1,1,6,464.9,0
116,092304,1011,2024-01-03,0,0.281,0.608,0,0,7,507.70000000000005,0
117,092306,1011,2024-01-03,0,0.319,0.967,1,1,0,279.8,0
118,092308,1011,2024-01-03,1,0.284,0.874,1,1,1,440.90000000000003,0
119,092311,1011,2024-01-03,3,0.38,0.536,1,1,3,333.3,0
120,092312,1011,2024-01-03,0,0.268,0.648,1,1,0,416.1,0
121,092314,1011,2024-01-03,2,0.349,0.531,1,1,2,771.8000000000001,0
122,092317,1011,2024-01-03,4,0.303,0.632,1,1,4,316.59999999999997,0
123,092318,1011,2024-01-03,1,0.397,0.695,1,1,1,310.7,0
124,092320,1011,2024-01-03,3,0.252,0.82,0,0,7,679.4,0
125,092323,1011,2024-01-03,6,0.305,0.602,1,1,6,798.0,0
126,092325,1011,2024-01-03,3,0.359,0.792,1,1,3,324.2,0
127,092327,1011,2024-01-03,5,0.268,0.913,1,1,5,332.6,0
128,092329,1011,2024-01-03,3,0.338,0.546,1,1,3,367.59999999999997,0
129,092331,1011,2024-01-03,1,0.291,0.537,1,1,1,425.59999999999997,0
130,092333,1011,2024-01-03,5,0.295,0.954,0,0,7,483.5,0
131,092335,1011,2024-01-03,1,0.312,0.98,0,0,5,678.1,0
132,092337,1011,2024-01-03,4,0.381,0.962,0,0,6,648.8000000000001,0
133,092340,1011,2024-01-03,0,0.273,0.89,1,1,0,503.09999999999997,0
134,092342,1011,2024-01-03,2,0.391,0.756,1,1,2,445.6,0
135,092344,1011,2024-01-03,4,0.303,0.97,1,1,4,326.79999999999995,0
136,092346,1011,2024-01-03,7,0.311,0.871,1,1,7,608.3,0
137,092349,1011,2024-01-03,0,0.391,0.769,1,1,0,596.8,0
138,092351,1011,2024-01-03,3,0.377,0.768,1,1,3,564.5,0
139,092353,1011,2024-01-03,6,0.271,0.931,1,1,6,451.6,0
140,092356,1011,2024-01-03,0,0.333,0.837,0,0,2,611.3,0
141,092358,1011,2024-01-03,1,0.324,0.91,1,1,1,464.5,0
142,092400,1011,2024-01-03,4,0.328,0.896,1,1,4,394.4,0
143,092402,1011,2024-01-03,5,0.365,0.79,1,1,5,452.40000000000003,0
144,092405,1011,2024-01-03,1,0.256,0.598,1,1,1,398.6,0
145,092406,1011,2024-01-03,5,0.384,0.59,1,1,5,409.6,0
146,092408,1011,2024-01-03,2,0.313,0.983,1,1,2,441.09999999999997,0
147,092411,1011,2024-01-03,1,0.382,0.639,0,0,6,471.8,0
148,092413,1011,2024-01-03,5,0.354,0.56,0,0,7,598.4000000000001,0
149,092415,1011,2024-01-03,3,0.33,0.88,1,1,3,376.40000000000003,0
150,092417,1011,2024-01-03,0,0.252,0.693,1,1,0,527.5,0
151,092419,1011,2024-01-03,4,0.34,0.99,1,1,4,392.6,0
152,092421,1011,2024-01-03,0,0.257,0.626,1,1,0,465.0,0
153,092423,1011,2024-01-03,7,0.39,0.763,1,1,7,347.5,0
154,092425,1011,2024-01-03,3,0.302,0.546,1,1,3,466.8,0
155,092427,1011,2024-01-03,5,0.382,0.652,1,1,5,397.5,0
156,092429,1011,2024-01-03,5,0.326,0.781,0,0,6,497.5,0
157,092431,1011,2024-01-03,1,0.342,0.721,1,1,1,362.09999999999997,0
158,092433,1011,2024-01-03,1,0.372,0.527,0,0,2,510.4,0
159,092435,1011,2024-01-03,4,0.365,0.637,1,1,4,346.4,0
160,092437,1011,2024-01-03,4,0.335,0.988,0,0,0,418.8,0
161,092439,1011,2024-01-03,7,0.275,0.724,1,1,7,366.0,0
162,092441,1011,2024-01-03,0,0.301,0.92,0,0,6,450.0,0
163,092443,1011,2024-01-03,2,0.327,0.598,1,1,2,317.09999999999997,0
164,092445,1011,2024-01-03,2,0.345,0.72,0,0,4,395.0,0
165,092447,1011,2024-01-03,3,0.387,0.822,1,1,3,314.0,0
166,092449,1011,2024-01-03,1,0.328,0.698,1,1,1,491.4,0
167,092451,1011,2024-01-03,5,0.263,0.994,1,1,5,604.8,0
168,092454,1011,2024-01-03,7,0.293,0.675,0,0,2,596.0999999999999,0
169,092456,1011,2024-01-03,6,0.297,0.744,1,1,6,580.7,0
170,092458,1011,2024-01-03,4,0.321,0.861,1,1,4,336.1,0
171,092500,1011,2024-01-03,7,0.377,0.923,1,1,7,404.1,0
172,092502,1011,2024-01-03,0,0.348,0.927,1,1,0,457.0,0
173,092505,1011,2024-01-03,3,0.331,0.504,1,1,3,622.0,0
174,092507,1011,2024-01-03,5,0.342,0.817,1,1,5,666.6,0
175,092509,1011,2024-01-03,1,0.312,0.81,1,1,1,785.3,0
176,092512,1011,2024-01-03,5,0.316,0.573,0,0,1,633.0,0
177,092514,1011,2024-01-03,2,0.338,0.786,1,1,2,464.0,0
178,092516,1011,2024-01-03,5,0.273,0.909,0,0,7,597.1999999999999,0
179,092518,1011,2024-01-03,1,0.263,0.56,0,0,3,839.1999999999999,0
180,092520,1011,2024-01-03,4,0.319,0.874,1,1,4,696.6999999999999,0
181,092523,1011,2024-01-03,5,0.379,0.76,1,1,5,538.9000000000001,0
182,092525,1011,2024-01-03,0,0.339,0.759,1,1,0,537.2,0
183,092527,1011,2024-01-03,6,0.313,0.816,1,1,6,570.4,0
184,092530,1011,2024-01-03,7,0.302,0.913,1,1,7,502.6,0
185,092532,1011,2024-01-03,4,0.303,0.579,1,1,4,536.3,0
186,092534,1011,2024-01-03,6,0.389,0.812,1,1,6,509.49999999999994,0
187,092536,1011,2024-01-03,2,0.331,0.73,1,1,2,420.9,0
188,092538,1011,2024-01-03,1,0.343,0.683,1,1,1,559.8,0
189,092540,1011,2024-01-03,2,0.342,0.575,0,0,5,451.2,0
190,092542,1011,2024-01-03,3,0.274,0.996,1,1,3,425.59999999999997,0
191,092544,1011,2024-01-03,0,0.375,0.575,1,1,0,351.6,0
192,092546,1011,2024-01-03,4,0.265,0.62,0,0,1,542.6999999999999,0
193,092548,1011,2024-01-03,6,0.307,0.655,1,1,6,597.9,0
194,092550,1011,2024-01-03,3,0.325,0.788,1,1,3,425.20000000000005,0
195,092552,1011,2024-01-03,0,0.291,0.606,1,1,0,420.0,0
196,092554,1011,2024-01-03,2,0.398,0.738,0,0,7,411.0,0
197,092556,1011,2024-01-03,5,0.258,0.807,1,1,5,638.5999999999999,0
198,092559,1011,2024-01-03,4,0.372,0.746,1,1,4,371.59999999999997,0
199,092601,1011,2024-01-03,2,0.256,0.754,1,1,2,504.09999999999997,0
200,092603,1011,2024-01-03,3,0.356,0.541,1,1,3,584.8,0
201,092605,1011,2024-01-03,1,0.322,0.549,1,1,1,682.8,0
202,092607,1011,2024-01-03,7,0.313,0.591,1,1,7,577.0,0
203,092609,1011,2024-01-03,2,0.263,0.58,1,1,2,355.8,0
204,092611,1011,2024-01-03,0,0.271,0.523,0,1,4,501.0,0
205,092613,1011,2024-01-03,0,0.324,0.976,1,1,0,723.6,0
206,092615,1011,2024-01-03,6,0.282,0.932,1,1,6,362.09999999999997,0
207,092617,1011,2024-01-03,5,0.33,0.648,1,1,5,434.0,0
208,092619,1011,2024-01-03,3,0.307,0.656,1,1,3,584.7,0
209,092621,1011,2024-01-03,5,0.364,0.503,0,0,1,513.5999999999999,0
210,092623,1011,2024-01-03,2,0.356,0.752,1,1,2,388.90000000000003,0
211,092625,1011,2024-01-03,5,0.327,0.832,1,1,5,460.2,0
212,092628,1011,2024-01-03,7,0.369,0.65,1,1,7,665.1,0
213,092630,1011,2024-01-03,4,0.308,0.793,1,1,4,371.0,0
214,092632,1011,2024-01-03,0,0.307,0.865,1,1,0,515.2,0
215,092634,1011,2024-01-03,6,0.348,0.545,1,1,6,936.6,0
216,092636,1011,2024-01-03,1,0.305,0.923,1,1,1,584.0999999999999,0
217,092639,1011,2024-01-03,2,0.387,0.53,1,1,2,478.7,0
218,092641,1011,2024-01-03,2,0.268,0.918,0,0,4,418.0,0
219,092643,1011,2024-01-03,5,0.252,0.567,1,1,5,591.9,0
220,092645,1011,2024-01-03,3,0.261,0.698,0,0,6,435.8,0
221,092647,1011,2024-01-03,7,0.251,0.518,1,1,7,373.7,0
222,092649,1011,2024-01-03,0,0.33,0.987,1,1,0,369.0,0
223,092651,1011,2024-01-03,3,0.391,0.72,1,1,3,386.79999999999995,0
224,092653,1011,2024-01-03,2,0.323,0.928,0,0,5,385.6,0
225,092655,1011,2024-01-03,7,0.363,0.991,1,1,7,270.6,0
226,092657,1011,2024-01-03,4,0.339,0.639,0,0,3,524.0,0
227,092659,1011,2024-01-03,7,0.253,0.845,0,0,4,456.7,0
228,092701,1011,2024-01-03,7,0.28,0.562,0,0,2,477.1,0
229,092703,1011,2024-01-03,6,0.277,0.921,1,1,6,403.8,0
230,092705,1011,2024-01-03,3,0.355,0.978,0,0,1,409.8,0
231,092708,1011,2024-01-03,5,0.396,0.803,0,0,0,479.4,0
232,092710,1011,2024-01-03,4,0.326,0.644,1,1,4,401.1,0
233,092712,1011,2024-01-03,2,0.338,0.677,1,1,2,397.4,0
234,092714,1011,2024-01-03,7,0.349,0.522,1,1,7,405.5,0
235,092716,1011,2024-01-03,7,0.353,0.702,0,0,1,480.9,0
236,092718,1011,2024-01-03,5,0.269,0.631,1,1,5,435.40000000000003,0
237,092720,1011,2024-01-03,0,0.325,0.55,1,1,0,437.5,0
238,092722,1011,2024-01-03,6,0.33,0.625,1,1,6,323.29999999999995,0
239,092723,1011,2024-01-03,3,0.275,0.933,1,1,3,341.2,0
240,092726,1011,2024-01-03,6,0.391,0.583,1,1,6,409.5,0
241,092727,1011,2024-01-03,4,0.269,0.6,1,1,4,343.5,0
242,092729,1011,2024-01-03,2,0.267,0.728,1,1,2,354.2,0
243,092731,1011,2024-01-03,3,0.365,0.603,1,1,3,357.09999999999997,0
244,092733,1011,2024-01-03,0,0.267,0.858,1,1,0,527.0,0
245,092735,1011,2024-01-03,7,0.277,0.795,0,0,5,535.4,0
246,092737,1011,2024-01-03,1,0.393,0.812,1,1,1,473.9,0
247,092740,1011,2024-01-03,7,0.289,0.851,1,1,7,379.3,0
248,092742,1011,2024-01-03,0,0.253,0.934,1,1,0,388.6,0
249,092744,1011,2024-01-03,6,0.352,0.761,1,1,6,425.9,0
250,092746,1011,2024-01-03,3,0.299,0.64,1,1,3,459.4,0
251,092748,1011,2024-01-03,2,0.345,0.582,1,1,2,826.4,0
252,092750,1011,2024-01-03,7,0.334,0.529,1,1,7,520.5999999999999,0
253,092752,1011,2024-01-03,4,0.389,0.696,1,1,4,360.3,0
254,092754,1011,2024-01-03,7,0.264,0.63,0,1,1,665.8,0
255,092756,1011,2024-01-03,5,0.302,0.902,1,1,5,838.3000000000001,0
256,092759,1011,2024-01-03,3,0.348,0.847,1,1,3,707.4,0
257,092801,1011,2024-01-03,7,0.318,0.792,0,0,0,706.8,0
258,092804,1011,2024-01-03,6,0.26,0.839,1,1,6,684.6999999999999,0
259,092806,1011,2024-01-03,4,0.397,0.753,1,1,4,679.0,0
260,092808,1011,2024-01-03,2,0.282,0.544,0,0,7,780.4,0
261,092811,1011,2024-01-03,1,0.341,0.752,1,1,1,508.2,0
262,092813,1011,2024-01-03,5,0.284,0.973,1,1,5,684.6999999999999,0
263,092815,1011,2024-01-03,2,0.367,0.616,1,1,2,482.20000000000005,0
264,092817,1011,2024-01-03,7,0.272,0.711,1,1,7,593.6,0
265,092819,1011,2024-01-03,7,0.301,0.735,0,0,0,520.8000000000001,0
266,092822,1011,2024-01-03,7,0.394,0.895,0,0,5,919.3,0
267,092824,1011,2024-01-03,2,0.331,0.793,1,1,2,350.8,0
268,092826,1011,2024-01-03,3,0.343,0.558,1,1,3,645.2,0
269,092828,1011,2024-01-03,7,0.272,0.759,0,0,1,428.09999999999997,0
270,092830,1011,2024-01-03,4,0.305,0.943,1,1,4,421.4,0
271,092833,1011,2024-01-03,6,0.265,0.648,1,1,6,420.8,0
272,092835,1011,2024-01-03,0,0.294,0.632,1,1,0,385.6,0
273,092836,1011,2024-01-03,4,0.38,0.671,1,1,4,376.09999999999997,0
274,092838,1011,2024-01-03,5,0.378,0.878,1,1,5,299.59999999999997,0
275,092841,1011,2024-01-03,1,0.354,0.853,1,1,1,334.1,0
276,092843,1011,2024-01-03,2,0.287,0.675,1,1,2,314.59999999999997,0
277,092844,1011,2024-01-03,3,0.252,0.628,1,1,3,225.1,0
278,092846,1011,2024-01-03,7,0.284,0.789,1,1,7,365.09999999999997,0
279,092848,1011,2024-01-03,6,0.371,0.907,1,1,6,258.2,0
