trial,time,id,Date,fix_time,response,side_1_stim,side_2_stim,latency,Block,Mu,SD,head,outcome,task,gamble_trial,loss,est_mu,est_low,est_high,conf_mu,conf_range,current_task,use_imagery,sure_option
trial_learning: 0,121649,1013,2024-01-03,NA,6666,8,9,17423.4,training,-10,['MM'],True,NA,comb,no,-12.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 1,121712,1013,2024-01-03,NA,6666,8,9,1791.8,training,-10,['MM'],True,NA,comb,no,-12.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 2,121719,1013,2024-01-03,NA,6666,8,9,1694.1,training,-10,['MM'],False,NA,comb,no,-7.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 3,121725,1013,2024-01-03,NA,6666,8,9,1684.3,training,-10,['MM'],False,NA,comb,no,-8.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 4,121732,1013,2024-01-03,NA,6666,8,9,2229.8,training,-10,['MM'],False,NA,comb,no,-8.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 5,121739,1013,2024-01-03,NA,6666,8,9,1112.6000000000001,training,-10,['MM'],False,NA,comb,no,-8.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 6,121745,1013,2024-01-03,NA,6666,8,9,1033.8,training,-10,['MM'],True,NA,comb,no,-13.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 7,121751,1013,2024-01-03,NA,6666,8,9,1293.1999999999998,training,-10,['MM'],False,NA,comb,no,-6.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 8,121757,1013,2024-01-03,NA,6666,8,9,1124.8,training,-10,['MM'],False,NA,comb,no,-7.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 9,121803,1013,2024-01-03,NA,6666,8,9,1000.1999999999999,training,-10,['MM'],False,NA,comb,no,-6.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 10,121809,1013,2024-01-03,NA,6666,8,9,1162.1,training,-10,['MM'],True,NA,comb,no,-13.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 11,121815,1013,2024-01-03,NA,6666,8,9,1417.7,training,-10,['MM'],True,NA,comb,no,-12.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 12,121822,1013,2024-01-03,NA,6666,8,9,992.8000000000001,training,-10,['MM'],False,NA,comb,no,-6.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 13,121827,1013,2024-01-03,NA,6666,8,9,1027.9,training,-10,['MM'],True,NA,comb,no,-13.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 14,121833,1013,2024-01-03,NA,6666,8,9,427.8,training,-10,['MM'],True,NA,comb,no,-14.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 15,121839,1013,2024-01-03,NA,6666,8,9,872.0,training,-10,['MM'],True,NA,comb,no,-13.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 16,121845,1013,2024-01-03,NA,6666,8,9,671.0,training,-10,['MM'],True,NA,comb,no,-14.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 17,121850,1013,2024-01-03,NA,6666,8,9,161.70000000000002,training,-10,['MM'],True,NA,comb,no,-14.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 18,121855,1013,2024-01-03,NA,6666,8,9,2587.1,training,-10,['MM'],False,NA,comb,no,-7.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 19,121903,1013,2024-01-03,NA,6666,8,9,449.79999999999995,training,-10,['MM'],True,NA,comb,no,-12.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 20,121908,1013,2024-01-03,NA,6666,8,9,621.3,training,-10,['MM'],True,NA,comb,no,-14.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 21,121914,1013,2024-01-03,NA,6666,8,9,910.4,training,-10,['MM'],False,NA,comb,no,-8.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 22,121920,1013,2024-01-03,NA,6666,8,9,1082.8,training,-10,['MM'],False,NA,comb,no,-7.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 23,121926,1013,2024-01-03,NA,6666,8,9,937.0,training,-10,['MM'],False,NA,comb,no,-6.0,NA,NA,NA,NA,NA,view,NA,NA
