trial,time,id,Date,text_stim,text_time,fix_time,match_array,response,image_stim,latency,Block
0,153002,1003,2023-04-24,6,0.376,0.717,1,999,6,1000.0,0
1,153005,1003,2023-04-24,6,0.284,0.508,0,999,4,1000.0,0
2,153007,1003,2023-04-24,0,0.359,0.525,1,1,0,894.1,0
3,153010,1003,2023-04-24,0,0.346,0.603,0,0,2,383.7,0
4,153012,1003,2023-04-24,3,0.399,0.642,1,1,3,361.70000000000005,0
5,153014,1003,2023-04-24,3,0.33,0.587,0,0,5,486.4,0
6,153016,1003,2023-04-24,7,0.305,0.588,1,1,7,407.6,0
7,153017,1003,2023-04-24,6,0.343,0.56,0,0,1,687.1,0
8,153020,1003,2023-04-24,5,0.354,0.581,0,0,6,604.7,0
9,153022,1003,2023-04-24,1,0.374,0.966,1,1,1,513.9,0
10,153024,1003,2023-04-24,6,0.34,0.819,0,0,7,597.0999999999999,0
11,153026,1003,2023-04-24,5,0.265,0.695,1,1,5,625.6,0
12,153029,1003,2023-04-24,1,0.276,0.782,0,0,3,703.4,0
13,153031,1003,2023-04-24,2,0.266,0.724,1,1,2,833.9,0
14,153033,1003,2023-04-24,4,0.264,0.98,1,1,4,634.5,0
15,153036,1003,2023-04-24,0,0.267,0.537,1,1,0,796.6999999999999,0
16,153038,1003,2023-04-24,7,0.299,0.785,0,1,0,583.8,0
17,153040,1003,2023-04-24,6,0.353,0.896,1,0,6,715.9,0
18,153043,1003,2023-04-24,3,0.325,0.701,0,0,2,911.2,0
19,153045,1003,2023-04-24,7,0.31,0.692,1,1,7,665.3,0
20,153047,1003,2023-04-24,3,0.332,0.667,1,1,3,563.2,0
21,153050,1003,2023-04-24,1,0.396,0.685,1,1,1,498.7,0
22,153052,1003,2023-04-24,4,0.349,0.688,1,1,4,398.0,0
23,153054,1003,2023-04-24,5,0.336,0.812,1,1,5,456.8,0
24,153056,1003,2023-04-24,2,0.308,0.983,0,0,5,664.0,0
25,153058,1003,2023-04-24,0,0.311,0.723,1,1,0,683.0,0
26,153101,1003,2023-04-24,2,0.393,0.599,1,1,2,761.0,0
27,153103,1003,2023-04-24,1,0.344,0.972,1,1,1,424.09999999999997,0
28,153105,1003,2023-04-24,3,0.322,0.827,1,1,3,440.59999999999997,0
29,153107,1003,2023-04-24,4,0.372,0.751,0,0,7,506.29999999999995,0
30,153110,1003,2023-04-24,7,0.318,0.794,0,0,4,564.4,0
31,153112,1003,2023-04-24,6,0.25,0.606,1,1,6,553.8,0
32,153114,1003,2023-04-24,7,0.28,0.971,1,1,7,608.4000000000001,0
33,153116,1003,2023-04-24,5,0.294,0.651,1,999,5,1000.0,0
34,153119,1003,2023-04-24,0,0.255,0.501,1,1,0,436.59999999999997,0
35,153120,1003,2023-04-24,1,0.316,0.781,1,1,1,373.5,0
36,153122,1003,2023-04-24,6,0.305,0.67,1,1,6,357.70000000000005,0
37,153124,1003,2023-04-24,2,0.27,0.982,0,0,3,429.4,0
