trial,time,id,Date,text_stim,text_time,fix_time,match_array,response,image_stim,latency,Block
0,101629,1000,2022-07-06,0,0.256,0.848,1,1,0,444.40000000000003,0
1,101631,1000,2022-07-06,3,0.342,0.999,1,1,3,315.8,0
2,101634,1000,2022-07-06,1,0.282,0.523,1,1,1,491.09999999999997,0
3,101636,1000,2022-07-06,2,0.277,0.938,1,0,2,462.4,0
4,101638,1000,2022-07-06,5,0.342,0.933,1,1,5,411.1,0
5,101640,1000,2022-07-06,6,0.259,0.542,1,1,6,399.5,0
6,101642,1000,2022-07-06,7,0.261,0.922,1,1,7,348.7,0
7,101644,1000,2022-07-06,4,0.284,0.968,1,1,4,305.20000000000005,0
8,101646,1000,2022-07-06,2,0.28,0.883,1,1,2,512.4,0
9,101648,1000,2022-07-06,4,0.255,0.764,1,1,4,296.8,0
10,101650,1000,2022-07-06,6,0.397,0.637,1,1,6,282.7,0
11,101652,1000,2022-07-06,4,0.391,0.559,0,0,7,638.1,0
12,101654,1000,2022-07-06,1,0.392,0.878,1,1,1,371.7,0
13,101656,1000,2022-07-06,5,0.348,0.696,1,1,5,306.8,0
14,101658,1000,2022-07-06,1,0.36,0.842,0,0,3,384.5,0
15,101700,1000,2022-07-06,7,0.292,0.9,0,0,0,373.3,0
16,101703,1000,2022-07-06,1,0.341,0.984,1,1,1,325.7,0
17,101705,1000,2022-07-06,6,0.255,0.53,1,1,6,381.29999999999995,0
18,101706,1000,2022-07-06,2,0.395,0.561,1,1,2,316.59999999999997,0
19,101708,1000,2022-07-06,3,0.322,0.722,1,1,3,271.0,0
20,101710,1000,2022-07-06,7,0.38,0.794,1,1,7,302.8,0
21,101712,1000,2022-07-06,5,0.389,0.692,1,1,5,311.59999999999997,0
22,101714,1000,2022-07-06,4,0.344,0.957,1,1,4,284.4,0
23,101716,1000,2022-07-06,0,0.288,0.721,1,1,0,281.9,0
24,101718,1000,2022-07-06,4,0.33,0.929,1,1,4,268.8,0
25,101720,1000,2022-07-06,2,0.399,0.915,1,1,2,278.7,0
26,101722,1000,2022-07-06,3,0.32,0.679,1,1,3,313.0,0
27,101724,1000,2022-07-06,1,0.372,0.76,1,1,1,278.1,0
28,101726,1000,2022-07-06,7,0.354,0.737,1,1,7,352.9,0
29,101728,1000,2022-07-06,0,0.307,0.983,1,1,0,437.40000000000003,0
30,101731,1000,2022-07-06,3,0.352,0.552,0,0,6,846.5,0
31,101733,1000,2022-07-06,5,0.32,0.56,1,1,5,340.6,0
32,101735,1000,2022-07-06,4,0.358,0.543,1,1,4,274.4,0
33,101736,1000,2022-07-06,3,0.332,0.773,1,1,3,257.29999999999995,0
34,101738,1000,2022-07-06,5,0.343,0.644,0,0,2,470.0,0
35,101740,1000,2022-07-06,5,0.311,0.745,1,1,5,397.9,0
36,101742,1000,2022-07-06,1,0.328,0.527,1,1,1,500.09999999999997,0
37,101744,1000,2022-07-06,0,0.3,0.821,1,1,0,249.70000000000002,0
38,101746,1000,2022-07-06,0,0.395,0.507,0,0,7,555.6,0
