trial,time,id,Date,text_stim,text_time,fix_time,match_array,response,image_stim,latency,Block
0,084607,1004,2023-05-03,3,0.316,0.621,1,999,3,1000.0,0
1,084610,1004,2023-05-03,1,0.356,0.56,1,1,1,729.8,0
2,084612,1004,2023-05-03,7,0.331,0.806,1,1,7,353.3,0
3,084614,1004,2023-05-03,2,0.345,0.53,1,0,2,500.90000000000003,0
4,084616,1004,2023-05-03,4,0.381,0.884,1,1,4,381.90000000000003,0
5,084618,1004,2023-05-03,2,0.268,0.894,0,0,5,504.6,0
6,084620,1004,2023-05-03,0,0.251,0.725,1,1,0,361.0,0
7,084622,1004,2023-05-03,6,0.363,0.602,1,1,6,342.2,0
8,084624,1004,2023-05-03,4,0.3,0.984,1,1,4,315.09999999999997,0
9,084626,1004,2023-05-03,3,0.299,0.853,1,1,3,504.4,0
10,084629,1004,2023-05-03,2,0.34,0.613,1,1,2,362.5,0
11,084630,1004,2023-05-03,6,0.343,0.744,1,1,6,356.2,0
12,084632,1004,2023-05-03,0,0.385,0.622,1,1,0,351.4,0
13,084634,1004,2023-05-03,7,0.318,0.785,1,1,7,321.5,0
14,084636,1004,2023-05-03,5,0.321,0.51,1,1,5,338.3,0
15,084638,1004,2023-05-03,1,0.38,0.724,1,0,1,368.09999999999997,0
16,084640,1004,2023-05-03,0,0.304,0.714,0,0,5,362.20000000000005,0
17,084642,1004,2023-05-03,4,0.306,0.747,1,1,4,328.6,0
18,084644,1004,2023-05-03,7,0.376,0.887,1,1,7,421.0,0
19,084646,1004,2023-05-03,4,0.257,0.732,0,0,2,588.8,0
20,084648,1004,2023-05-03,0,0.373,0.821,1,1,0,519.7,0
21,084651,1004,2023-05-03,3,0.257,0.677,1,1,3,327.90000000000003,0
22,084652,1004,2023-05-03,6,0.254,0.559,1,1,6,239.0,0
23,084654,1004,2023-05-03,1,0.322,0.848,1,1,1,297.4,0
24,084656,1004,2023-05-03,7,0.341,0.988,1,1,7,293.7,0
25,084658,1004,2023-05-03,3,0.281,0.724,1,1,3,338.4,0
26,084700,1004,2023-05-03,0,0.262,0.708,0,0,4,391.40000000000003,0
27,084702,1004,2023-05-03,0,0.337,0.702,1,1,0,256.79999999999995,0
28,084704,1004,2023-05-03,1,0.279,0.634,1,1,1,368.59999999999997,0
29,084706,1004,2023-05-03,2,0.378,0.501,1,0,2,454.79999999999995,0
30,084708,1004,2023-05-03,6,0.304,0.964,1,1,6,306.20000000000005,0
31,084710,1004,2023-05-03,5,0.368,0.951,1,1,5,412.7,0
32,084712,1004,2023-05-03,7,0.337,0.568,1,1,7,318.40000000000003,0
33,084714,1004,2023-05-03,4,0.279,0.562,1,1,4,337.7,0
34,084716,1004,2023-05-03,3,0.365,0.519,1,1,3,212.5,0
35,084717,1004,2023-05-03,1,0.295,0.918,1,1,1,397.3,0
36,084719,1004,2023-05-03,2,0.33,0.922,1,1,2,278.3,0
37,084722,1004,2023-05-03,5,0.398,0.676,1,1,5,441.90000000000003,0
38,084724,1004,2023-05-03,6,0.398,0.759,1,1,6,259.79999999999995,0
39,084726,1004,2023-05-03,7,0.325,0.545,0,0,0,451.79999999999995,0
40,084727,1004,2023-05-03,0,0.306,0.803,1,1,0,368.70000000000005,0
41,084730,1004,2023-05-03,4,0.375,0.892,1,1,4,358.9,0
42,084732,1004,2023-05-03,5,0.267,0.911,1,1,5,366.4,0
43,084734,1004,2023-05-03,2,0.31,0.732,1,1,2,522.7,0
44,084736,1004,2023-05-03,6,0.251,0.539,1,1,6,375.90000000000003,0
45,084738,1004,2023-05-03,7,0.269,0.715,1,1,7,442.90000000000003,0
46,084740,1004,2023-05-03,7,0.348,0.978,0,1,3,413.1,0
47,084742,1004,2023-05-03,1,0.389,0.746,1,1,1,326.2,0
48,084744,1004,2023-05-03,6,0.372,0.74,1,1,6,360.9,0
49,084746,1004,2023-05-03,2,0.289,0.794,0,0,0,485.9,0
50,084748,1004,2023-05-03,2,0.381,0.987,1,1,2,225.5,0
51,084750,1004,2023-05-03,3,0.284,0.861,1,1,3,351.0,0
52,084752,1004,2023-05-03,7,0.399,0.533,1,1,7,393.2,0
53,084754,1004,2023-05-03,4,0.257,0.943,1,1,4,458.1,0
54,084756,1004,2023-05-03,1,0.344,0.543,1,1,1,348.9,0
55,084758,1004,2023-05-03,5,0.346,0.668,1,1,5,337.0,0
56,084800,1004,2023-05-03,6,0.383,0.599,1,1,6,195.6,0
57,084802,1004,2023-05-03,0,0.354,0.798,1,1,0,307.2,0
58,084804,1004,2023-05-03,4,0.345,0.571,1,1,4,382.29999999999995,0
59,084806,1004,2023-05-03,2,0.304,0.908,1,1,2,394.2,0
60,084808,1004,2023-05-03,3,0.366,0.825,1,1,3,212.29999999999998,0
61,084810,1004,2023-05-03,5,0.338,0.551,1,1,5,300.4,0
62,084812,1004,2023-05-03,7,0.254,0.942,1,1,7,433.7,0
63,084814,1004,2023-05-03,1,0.373,0.559,1,1,1,364.8,0
64,084816,1004,2023-05-03,3,0.313,0.578,1,1,3,208.3,0
65,084817,1004,2023-05-03,0,0.382,0.605,1,1,0,297.9,0
66,084819,1004,2023-05-03,2,0.39,0.722,1,1,2,361.0,0
67,084821,1004,2023-05-03,4,0.343,0.759,1,1,4,416.6,0
68,084823,1004,2023-05-03,3,0.291,0.889,0,1,1,93.10000000000001,0
69,084825,1004,2023-05-03,6,0.318,0.987,1,1,6,296.59999999999997,0
70,084827,1004,2023-05-03,5,0.329,0.526,1,1,5,311.90000000000003,0
71,084829,1004,2023-05-03,7,0.381,0.717,1,1,7,280.8,0
72,084831,1004,2023-05-03,5,0.35,0.796,1,1,5,448.90000000000003,0
73,084833,1004,2023-05-03,6,0.346,0.992,1,1,6,286.4,0
74,084835,1004,2023-05-03,4,0.325,0.512,1,1,4,314.09999999999997,0
75,084837,1004,2023-05-03,3,0.337,0.98,0,1,7,304.0,0
76,084839,1004,2023-05-03,6,0.354,0.627,0,0,1,825.0,0
77,084842,1004,2023-05-03,4,0.287,0.962,0,0,0,488.8,0
78,084844,1004,2023-05-03,3,0.303,0.614,1,1,3,525.5999999999999,0
79,084846,1004,2023-05-03,2,0.317,0.55,1,1,2,390.5,0
80,084848,1004,2023-05-03,4,0.263,0.59,1,1,4,413.0,0
81,084850,1004,2023-05-03,7,0.339,0.974,1,1,7,463.0,0
82,084852,1004,2023-05-03,2,0.341,0.77,1,1,2,333.8,0
83,084854,1004,2023-05-03,0,0.292,0.682,1,1,0,365.20000000000005,0
84,084856,1004,2023-05-03,6,0.379,0.848,1,1,6,322.5,0
85,084858,1004,2023-05-03,5,0.364,0.574,1,1,5,459.4,0
86,084900,1004,2023-05-03,3,0.383,0.727,1,1,3,305.4,0
87,084902,1004,2023-05-03,1,0.296,0.925,1,1,1,338.4,0
88,084904,1004,2023-05-03,3,0.288,0.565,1,1,3,369.3,0
89,084906,1004,2023-05-03,2,0.296,0.644,1,1,2,377.59999999999997,0
90,084908,1004,2023-05-03,1,0.291,0.885,0,0,0,535.8000000000001,0
91,084910,1004,2023-05-03,1,0.316,0.696,1,1,1,425.20000000000005,0
92,084912,1004,2023-05-03,0,0.395,0.524,0,0,5,451.90000000000003,0
93,084914,1004,2023-05-03,7,0.264,0.9,1,1,7,344.2,0
94,084916,1004,2023-05-03,4,0.377,0.831,1,1,4,441.40000000000003,0
95,084918,1004,2023-05-03,6,0.311,0.984,1,1,6,349.0,0
96,084920,1004,2023-05-03,3,0.393,0.571,1,1,3,307.40000000000003,0
97,084922,1004,2023-05-03,0,0.266,0.659,1,1,0,359.70000000000005,0
98,084924,1004,2023-05-03,1,0.395,0.884,0,0,2,488.0,0
99,084926,1004,2023-05-03,4,0.317,0.995,1,1,4,512.1,0
100,084929,1004,2023-05-03,7,0.259,0.523,1,1,7,452.40000000000003,0
101,084930,1004,2023-05-03,6,0.342,0.993,1,1,6,295.3,0
102,084933,1004,2023-05-03,1,0.291,0.642,1,1,1,427.09999999999997,0
