trial,time,id,Date,fix_time,response,side_1_stim,side_2_stim,latency,Block,Mu,SD,head,outcome,task,gamble_trial,loss,est_mu,est_low,est_high,conf_mu,conf_range,current_task,use_imagery,sure_option
trial_learning: 0,105253,1007,2023-05-03,NA,6666,8,9,7913.599999999999,training,-10,['MM'],True,NA,comb,no,-13.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 1,105306,1007,2023-05-03,NA,6666,8,9,5305.4,training,-10,['MM'],False,NA,comb,no,-7.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 2,105316,1007,2023-05-03,NA,6666,8,9,7711.0,training,-10,['MM'],False,NA,comb,no,-7.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 3,105329,1007,2023-05-03,NA,6666,8,9,2251.5,training,-10,['MM'],True,NA,comb,no,-13.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 4,105336,1007,2023-05-03,NA,6666,8,9,4062.2,training,-10,['MM'],True,NA,comb,no,-12.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 5,105345,1007,2023-05-03,NA,6666,8,9,1450.7,training,-10,['MM'],False,NA,comb,no,-8.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 6,105352,1007,2023-05-03,NA,6666,8,9,4416.400000000001,training,-10,['MM'],False,NA,comb,no,-8.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 7,105401,1007,2023-05-03,NA,6666,8,9,892.5,training,-10,['MM'],False,NA,comb,no,-8.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 8,105407,1007,2023-05-03,NA,6666,8,9,342.6,training,-10,['MM'],False,NA,comb,no,-6.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 9,105412,1007,2023-05-03,NA,6666,8,9,438.59999999999997,training,-10,['MM'],True,NA,comb,no,-14.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 10,105417,1007,2023-05-03,NA,6666,8,9,593.7,training,-10,['MM'],False,NA,comb,no,-7.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 11,105423,1007,2023-05-03,NA,6666,8,9,825.4,training,-10,['MM'],True,NA,comb,no,-14.0,NA,NA,NA,NA,NA,img,NA,NA
loop: 0_option: 0,105521,1007,2023-05-03,0.4,1,8,9,41738.5,training,-10,MM,0,NA,comb,yes,-14,NA,NA,NA,NA,NA,NA,0,-7
loop: 0_option: 1,105604,1007,2023-05-03,0.4,1,8,9,51190.3,training,-10,MM,0,NA,comb,yes,-7,NA,NA,NA,NA,NA,NA,0,-8
loop: 0_option: 2,105655,1007,2023-05-03,0.4,1,8,9,44017.4,training,-10,MM,0,NA,comb,yes,-7,NA,NA,NA,NA,NA,NA,0,-8
loop: 0_option: 3,105740,1007,2023-05-03,0.4,1,8,9,5384.299999999999,training,-10,MM,0,NA,comb,yes,-13,NA,NA,NA,NA,NA,NA,0,-13
loop: 0_option: 4,105746,1007,2023-05-03,0.4,1,8,9,2372.7999999999997,training,-10,MM,0,NA,comb,yes,-6,NA,NA,NA,NA,NA,NA,0,-6
loop: 0_option: 5,105749,1007,2023-05-03,0.4,1,8,9,10518.2,training,-10,MM,0,NA,comb,yes,-8,NA,NA,NA,NA,NA,NA,0,-12
loop: 0_option: 6,105800,1007,2023-05-03,0.4,1,8,9,1046.3,training,-10,MM,0,NA,comb,yes,-6,NA,NA,NA,NA,NA,NA,0,-6
loop: 0_option: 7,105801,1007,2023-05-03,0.4,1,8,9,1062.0,training,-10,MM,0,NA,comb,yes,-12,NA,NA,NA,NA,NA,NA,0,-13
loop: 0_option: 8,105803,1007,2023-05-03,0.4,1,8,9,1076.1000000000001,training,-10,MM,0,NA,comb,yes,-7,NA,NA,NA,NA,NA,NA,0,-7
loop: 0_option: 9,105804,1007,2023-05-03,0.4,1,8,9,1830.1000000000001,training,-10,MM,0,NA,comb,yes,-13,NA,NA,NA,NA,NA,NA,0,-14
loop: 0_option: 10,105807,1007,2023-05-03,0.4,1,8,9,1092.4,training,-10,MM,0,NA,comb,yes,-7,NA,NA,NA,NA,NA,NA,0,-14
loop: 0_option: 11,105808,1007,2023-05-03,0.4,1,8,9,612.6,training,-10,MM,0,NA,comb,yes,-6,NA,NA,NA,NA,NA,NA,0,-12
loop: 1_option: 0,105823,1007,2023-05-03,0.4,1,8,9,2588.4,training,-10,MM,0,NA,comb,yes,-12,NA,NA,NA,NA,NA,NA,1,-8
loop: 1_option: 1,105826,1007,2023-05-03,0.4,0,8,9,1301.5,training,-10,MM,0,NA,comb,yes,-14,NA,NA,NA,NA,NA,NA,1,-14
loop: 1_option: 2,105828,1007,2023-05-03,0.4,0,8,9,1668.5,training,-10,MM,0,NA,comb,yes,-13,NA,NA,NA,NA,NA,NA,1,-13
