trial,time,id,Date,text_stim,text_time,fix_time,match_array,response,image_stim,latency,Block
0,103713,1007,2023-05-03,4,0.27,0.632,0,999,3,1000.0,0
1,103716,1007,2023-05-03,3,0.327,0.87,0,999,2,1000.0,0
2,103718,1007,2023-05-03,1,0.352,0.764,0,999,4,1000.0,0
3,103721,1007,2023-05-03,1,0.328,0.803,0,999,7,1000.0,0
4,103724,1007,2023-05-03,5,0.373,0.967,1,999,5,1000.0,0
5,103727,1007,2023-05-03,1,0.384,0.9,1,1,1,720.5,0
6,103729,1007,2023-05-03,6,0.277,0.678,1,1,6,768.2,0
7,103731,1007,2023-05-03,0,0.273,0.574,1,1,0,302.4,0
8,103733,1007,2023-05-03,0,0.377,0.675,1,1,0,360.4,0
9,103735,1007,2023-05-03,6,0.321,0.716,1,1,6,213.2,0
10,103737,1007,2023-05-03,1,0.327,0.579,1,1,1,281.1,0
11,103739,1007,2023-05-03,4,0.385,0.825,1,1,4,260.7,0
12,103741,1007,2023-05-03,3,0.318,0.738,1,1,3,217.5,0
13,103743,1007,2023-05-03,5,0.317,0.991,1,1,5,228.6,0
14,103745,1007,2023-05-03,2,0.295,0.591,1,0,2,434.8,0
15,103747,1007,2023-05-03,7,0.258,0.899,1,1,7,316.59999999999997,0
16,103749,1007,2023-05-03,1,0.387,0.862,1,1,1,231.8,0
17,103751,1007,2023-05-03,2,0.267,0.646,1,0,2,447.7,0
18,103753,1007,2023-05-03,3,0.355,0.729,1,1,3,241.9,0
19,103754,1007,2023-05-03,4,0.261,0.71,0,1,0,232.2,0
20,103756,1007,2023-05-03,2,0.263,0.963,0,0,6,309.8,0
21,103758,1007,2023-05-03,7,0.386,0.906,1,1,7,361.3,0
22,103800,1007,2023-05-03,4,0.311,0.732,1,1,4,304.09999999999997,0
23,103802,1007,2023-05-03,5,0.365,0.774,1,1,5,50.5,0
24,103804,1007,2023-05-03,4,0.302,0.508,0,0,1,438.09999999999997,0
25,103806,1007,2023-05-03,7,0.385,0.831,1,1,7,114.3,0
26,103808,1007,2023-05-03,3,0.272,0.53,1,1,3,223.0,0
27,103809,1007,2023-05-03,4,0.348,0.818,0,0,6,356.1,0
28,103811,1007,2023-05-03,2,0.395,0.558,1,0,2,342.7,0
29,103813,1007,2023-05-03,4,0.386,0.834,1,1,4,310.5,0
30,103815,1007,2023-05-03,0,0.347,0.503,1,1,0,234.3,0
31,103817,1007,2023-05-03,5,0.373,0.983,1,1,5,245.7,0
32,103819,1007,2023-05-03,3,0.271,0.882,1,1,3,222.1,0
33,103821,1007,2023-05-03,2,0.261,0.582,0,0,7,428.0,0
34,103823,1007,2023-05-03,5,0.354,0.847,1,1,5,246.10000000000002,0
35,103825,1007,2023-05-03,1,0.346,0.505,1,1,1,221.4,0
36,103827,1007,2023-05-03,0,0.39,0.625,1,1,0,477.6,0
37,103829,1007,2023-05-03,6,0.374,0.707,1,1,6,362.4,0
38,103831,1007,2023-05-03,4,0.399,0.833,1,1,4,313.7,0
39,103833,1007,2023-05-03,4,0.288,0.867,0,0,2,422.70000000000005,0
40,103835,1007,2023-05-03,4,0.336,0.909,1,1,4,254.2,0
41,103837,1007,2023-05-03,1,0.272,0.644,1,1,1,311.8,0
42,103839,1007,2023-05-03,2,0.382,0.763,1,1,2,226.70000000000002,0
43,103841,1007,2023-05-03,5,0.312,0.667,1,1,5,188.70000000000002,0
44,103842,1007,2023-05-03,6,0.316,0.544,1,1,6,57.8,0
45,103844,1007,2023-05-03,3,0.295,0.635,1,1,3,43.4,0
46,103845,1007,2023-05-03,7,0.375,0.5,1,1,7,456.7,0
