trial,time,id,Date,fix_time,response,side_1_stim,side_2_stim,latency,Block,Mu,SD,head,outcome,task,gamble_trial,loss,est_mu,est_low,est_high,conf_mu,conf_range,current_task,use_imagery,sure_option
trial_learning: 0,154204,1003,2023-04-24,NA,6666,2,4,5064.6,training,-10,['LH'],False,NA,comb,no,-3.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 1,154214,1003,2023-04-24,NA,6666,2,4,2882.2000000000003,training,-10,['LH'],True,NA,comb,no,-17.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 2,154222,1003,2023-04-24,NA,6666,3,7,5146.5,training,-10,['HL'],False,NA,comb,no,-15.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 3,154232,1003,2023-04-24,NA,6666,3,7,4056.3,training,-10,['HL'],True,NA,comb,no,-10.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 4,154241,1003,2023-04-24,NA,6666,3,7,2274.7999999999997,training,-10,['HL'],True,NA,comb,no,-9.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 5,154248,1003,2023-04-24,NA,6666,3,7,1077.9,training,-10,['HL'],True,NA,comb,no,-8.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 6,154254,1003,2023-04-24,NA,6666,3,7,728.3,training,-10,['HL'],False,NA,comb,no,-12.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 7,154300,1003,2023-04-24,NA,6666,2,4,3350.5,training,-10,['LH'],False,NA,comb,no,-9.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 8,154308,1003,2023-04-24,NA,6666,3,7,1216.6999999999998,training,-10,['HL'],True,NA,comb,no,-9.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 9,154314,1003,2023-04-24,NA,6666,2,4,1913.1,training,-10,['LH'],False,NA,comb,no,-5.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 10,154321,1003,2023-04-24,NA,6666,3,7,782.9000000000001,training,-10,['HL'],True,NA,comb,no,-10.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 11,154327,1003,2023-04-24,NA,6666,2,4,1816.1000000000001,training,-10,['LH'],True,NA,comb,no,-15.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 12,154334,1003,2023-04-24,NA,6666,3,7,2531.2000000000003,training,-10,['HL'],False,NA,comb,no,-16.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 13,154341,1003,2023-04-24,NA,6666,3,7,839.8,training,-10,['HL'],False,NA,comb,no,-11.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 14,154347,1003,2023-04-24,NA,6666,3,7,821.6,training,-10,['HL'],True,NA,comb,no,-3.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 15,154353,1003,2023-04-24,NA,6666,2,4,781.3,training,-10,['LH'],False,NA,comb,no,-3.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 16,154358,1003,2023-04-24,NA,6666,2,4,2492.4,training,-10,['LH'],False,NA,comb,no,-10.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 17,154406,1003,2023-04-24,NA,6666,3,7,634.9,training,-10,['HL'],False,NA,comb,no,-17.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 18,154411,1003,2023-04-24,NA,6666,2,4,1162.4,training,-10,['LH'],True,NA,comb,no,-11.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 19,154418,1003,2023-04-24,NA,6666,3,7,810.8,training,-10,['HL'],True,NA,comb,no,-4.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 20,154423,1003,2023-04-24,NA,6666,2,4,1187.2,training,-10,['LH'],True,NA,comb,no,-16.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 21,154429,1003,2023-04-24,NA,6666,2,4,783.9000000000001,training,-10,['LH'],True,NA,comb,no,-17.0,NA,NA,NA,NA,NA,view,NA,NA
