trial,time,id,Date,fix_time,response,side_1_stim,side_2_stim,latency,Block,Mu,SD,head,outcome,task,gamble_trial,loss,est_mu,est_low,est_high,conf_mu,conf_range,current_task
4,185607,,2022-05-17,0.917,6666,3,5,383.40000000000003,test,-10,LH,0,0,comb_4,no,-14,NA,NA,NA,NA,NA,view
4,185614,,2022-05-17,0.2,0,3,5,814.6,test,-10,LH,0,NA,comb_4,yes,-6.5,NA,NA,NA,NA,NA,NA
4,185616,,2022-05-17,0.775,0,3,5,340.4,test,-10,LH,0,NA,comb_4,yes,-2.5,NA,NA,NA,NA,NA,NA
4,185617,,2022-05-17,0.751,0,3,5,266.90000000000003,test,-10,LH,0,NA,comb_4,yes,-3.0,NA,NA,NA,NA,NA,NA
4,185618,,2022-05-17,0.654,0,3,5,209.7,test,-10,LH,0,NA,comb_4,yes,-3.5,NA,NA,NA,NA,NA,NA
4,185619,,2022-05-17,0.583,0,3,5,279.8,test,-10,LH,0,NA,comb_4,yes,-7.5,NA,NA,NA,NA,NA,NA
4,185620,,2022-05-17,0.818,0,3,5,275.4,test,-10,LH,0,NA,comb_4,yes,-7.0,NA,NA,NA,NA,NA,NA
4,185625,,2022-05-17,0.709,NA,3,5,NA,test,-10,LH,0,0,comb_4,no,NA,-7.6,-3.9,-12.6,14.3,16.4,view
