trial,time,id,Date,fix_time,response,side_1_stim,side_2_stim,latency,Block,Mu,SD,head,outcome,task,gamble_trial,loss,est_mu,est_low,est_high,conf_mu,conf_range,current_task,sure_option
0,184137,,2022-07-06,0.864,6666,1,3,466.6,training,-6,LH,0,0,view,no,-9,NA,NA,NA,NA,NA,view,NA
0,184144,,2022-07-06,0.697,6666,1,3,480.8,training,-6,LH,0,0,view,no,-10,NA,NA,NA,NA,NA,view,NA
0,184150,,2022-07-06,0.581,6666,1,3,646.2,training,-6,LH,0,1,view,no,-1,NA,NA,NA,NA,NA,view,NA
0,184157,,2022-07-06,0.945,6666,1,3,510.0,training,-6,LH,0,1,view,no,-2,NA,NA,NA,NA,NA,view,NA
0,184203,,2022-07-06,0.851,6666,1,3,2199.2,training,-6,LH,0,0,view,no,-11,NA,NA,NA,NA,NA,view,NA
0,184211,,2022-07-06,0.634,6666,1,3,602.1,training,-6,LH,0,0,view,no,-9,NA,NA,NA,NA,NA,view,NA
0,184218,,2022-07-06,0.923,6666,1,3,683.4,training,-6,LH,0,1,view,no,-3,NA,NA,NA,NA,NA,view,NA
0,184225,,2022-07-06,0.891,6666,1,3,435.5,training,-6,LH,0,1,view,no,-2,NA,NA,NA,NA,NA,view,NA
0,184231,,2022-07-06,0.529,6666,1,3,1082.2,training,-6,LH,0,0,view,no,-10,NA,NA,NA,NA,NA,view,NA
0,184238,,2022-07-06,0.909,6666,1,3,290.9,training,-6,LH,0,1,view,no,-1,NA,NA,NA,NA,NA,view,NA
0,184244,,2022-07-06,0.826,6666,1,3,47146.9,training,-6,LH,0,1,view,no,-3,NA,NA,NA,NA,NA,view,NA
0,184337,,2022-07-06,0.66,6666,1,3,3036.7999999999997,training,-6,LH,0,0,view,no,-11,NA,NA,NA,NA,NA,view,NA
0,184351,,2022-07-06,0.4,0,1,3,227.3,training,-6,LH,0,NA,view,yes,-0.5,NA,NA,NA,NA,NA,NA,-1
0,184352,,2022-07-06,0.4,0,1,3,186.6,training,-6,LH,0,NA,view,yes,-1.0,NA,NA,NA,NA,NA,NA,-2
0,184352,,2022-07-06,0.4,0,1,3,63.9,training,-6,LH,0,NA,view,yes,-1.5,NA,NA,NA,NA,NA,NA,-3
0,184353,,2022-07-06,0.4,0,1,3,155.79999999999998,training,-6,LH,0,NA,view,yes,-5.0,NA,NA,NA,NA,NA,NA,-10
0,184353,,2022-07-06,0.4,0,1,3,79.39999999999999,training,-6,LH,0,NA,view,yes,-4.5,NA,NA,NA,NA,NA,NA,-9
0,184354,,2022-07-06,0.4,0,1,3,77.60000000000001,training,-6,LH,0,NA,view,yes,-5.5,NA,NA,NA,NA,NA,NA,-11
0,184354,,2022-07-06,0.4,0,1,3,119.8,training,-6,LH,0,NA,view,yes,-5.0,NA,NA,NA,NA,NA,NA,-10
0,184355,,2022-07-06,0.4,0,1,3,703.7,training,-6,LH,0,NA,view,yes,-0.5,NA,NA,NA,NA,NA,NA,-1
0,184356,,2022-07-06,0.4,0,1,3,543.5,training,-6,LH,0,NA,view,yes,-1.0,NA,NA,NA,NA,NA,NA,-2
0,184357,,2022-07-06,0.4,0,1,3,522.3,training,-6,LH,0,NA,view,yes,-4.5,NA,NA,NA,NA,NA,NA,-9
0,184358,,2022-07-06,0.4,0,1,3,397.6,training,-6,LH,0,NA,view,yes,-1.5,NA,NA,NA,NA,NA,NA,-3
0,184359,,2022-07-06,0.4,0,1,3,495.3,training,-6,LH,0,NA,view,yes,-5.5,NA,NA,NA,NA,NA,NA,-11
0,184400,,2022-07-06,0.4,0,1,3,106.89999999999999,training,-6,LH,0,NA,view,yes,-0.5,NA,NA,NA,NA,NA,NA,-1
0,184401,,2022-07-06,0.4,0,1,3,335.0,training,-6,LH,0,NA,view,yes,-1.0,NA,NA,NA,NA,NA,NA,-2
0,184401,,2022-07-06,0.4,0,1,3,95.2,training,-6,LH,0,NA,view,yes,-5.5,NA,NA,NA,NA,NA,NA,-11
0,184402,,2022-07-06,0.4,0,1,3,94.60000000000001,training,-6,LH,0,NA,view,yes,-5.0,NA,NA,NA,NA,NA,NA,-10
0,184402,,2022-07-06,0.4,0,1,3,247.79999999999998,training,-6,LH,0,NA,view,yes,-4.5,NA,NA,NA,NA,NA,NA,-9
0,184403,,2022-07-06,0.4,0,1,3,187.70000000000002,training,-6,LH,0,NA,view,yes,-1.5,NA,NA,NA,NA,NA,NA,-3
0,184404,,2022-07-06,0.4,0,1,3,158.5,training,-6,LH,0,NA,view,yes,-5.0,NA,NA,NA,NA,NA,NA,-10
0,184404,,2022-07-06,0.4,0,1,3,136.9,training,-6,LH,0,NA,view,yes,-1.5,NA,NA,NA,NA,NA,NA,-3
0,184405,,2022-07-06,0.4,0,1,3,110.39999999999999,training,-6,LH,0,NA,view,yes,-1.0,NA,NA,NA,NA,NA,NA,-2
0,184406,,2022-07-06,0.4,0,1,3,106.0,training,-6,LH,0,NA,view,yes,-5.5,NA,NA,NA,NA,NA,NA,-11
0,184406,,2022-07-06,0.4,0,1,3,110.9,training,-6,LH,0,NA,view,yes,-0.5,NA,NA,NA,NA,NA,NA,-1
0,184407,,2022-07-06,0.4,0,1,3,124.5,training,-6,LH,0,NA,view,yes,-4.5,NA,NA,NA,NA,NA,NA,-9
0,184407,,2022-07-06,0.4,0,1,3,107.5,training,-6,LH,0,NA,view,yes,-5.5,NA,NA,NA,NA,NA,NA,-11
