trial,time,id,Date,fix_time,response,side_1_stim,side_2_stim,latency,Block,Mu,SD,head,outcome,task,gamble_trial,loss,est_mu,est_low,est_high,conf_mu,conf_range,current_task,use_imagery,sure_option
trial_learning: 0,091810,1010,2023-05-24,NA,6666,8,9,20649.6,training,-10,['MM'],False,NA,comb,no,-8.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 1,091836,1010,2023-05-24,NA,6666,8,9,4953.400000000001,training,-10,['MM'],False,NA,comb,no,-7.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 2,091846,1010,2023-05-24,NA,6666,8,9,10531.2,training,-10,['MM'],True,NA,comb,no,-14.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 3,091902,1010,2023-05-24,NA,6666,8,9,18857.3,training,-10,['MM'],False,NA,comb,no,-7.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 4,091925,1010,2023-05-24,NA,6666,8,9,2393.5,training,-10,['MM'],False,NA,comb,no,-6.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 5,091933,1010,2023-05-24,NA,6666,8,9,1817.3,training,-10,['MM'],False,NA,comb,no,-6.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 6,091939,1010,2023-05-24,NA,6666,8,9,1966.1,training,-10,['MM'],False,NA,comb,no,-7.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 7,091946,1010,2023-05-24,NA,6666,8,9,1246.2,training,-10,['MM'],False,NA,comb,no,-6.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 8,091952,1010,2023-05-24,NA,6666,8,9,1271.9,training,-10,['MM'],False,NA,comb,no,-8.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 9,091959,1010,2023-05-24,NA,6666,8,9,1538.6,training,-10,['MM'],True,NA,comb,no,-13.0,NA,NA,NA,NA,NA,view,NA,NA
trial_learning: 10,092005,1010,2023-05-24,NA,6666,8,9,1749.8,training,-10,['MM'],False,NA,comb,no,-8.0,NA,NA,NA,NA,NA,img,NA,NA
trial_learning: 11,092012,1010,2023-05-24,NA,6666,8,9,619.5,training,-10,['MM'],True,NA,comb,no,-12.0,NA,NA,NA,NA,NA,view,NA,NA
