trial,time,id,Date,text_stim,text_time,fix_time,match_array,response,image_stim,latency,Block
0,100712,1006,2023-05-03,0,0.361,0.727,1,999,0,1000.0,0
1,100714,1006,2023-05-03,5,0.399,0.526,1,0,5,851.3,0
2,100717,1006,2023-05-03,3,0.342,0.623,1,1,3,341.8,0
3,100719,1006,2023-05-03,6,0.398,0.773,1,1,6,533.4,0
4,100721,1006,2023-05-03,7,0.295,0.923,1,1,7,374.5,0
5,100723,1006,2023-05-03,1,0.361,0.53,1,1,1,374.3,0
6,100725,1006,2023-05-03,4,0.345,0.571,1,1,4,439.5,0
7,100727,1006,2023-05-03,2,0.39,0.666,1,1,2,672.6,0
8,100729,1006,2023-05-03,2,0.299,0.856,1,1,2,406.0,0
9,100732,1006,2023-05-03,6,0.33,0.939,1,1,6,324.1,0
10,100734,1006,2023-05-03,3,0.253,0.835,0,1,0,225.1,0
11,100736,1006,2023-05-03,1,0.321,0.506,1,1,1,655.1,0
12,100738,1006,2023-05-03,5,0.346,0.569,1,1,5,464.1,0
13,100740,1006,2023-05-03,7,0.266,0.811,1,1,7,326.7,0
14,100742,1006,2023-05-03,3,0.331,0.942,1,1,3,331.6,0
15,100744,1006,2023-05-03,4,0.386,0.774,1,1,4,341.2,0
16,100746,1006,2023-05-03,6,0.257,0.851,0,0,1,412.5,0
17,100748,1006,2023-05-03,4,0.29,0.59,0,1,3,471.0,0
18,100750,1006,2023-05-03,6,0.279,0.872,1,1,6,398.3,0
19,100753,1006,2023-05-03,2,0.371,0.583,1,1,2,302.59999999999997,0
20,100755,1006,2023-05-03,7,0.261,0.513,1,1,7,306.59999999999997,0
21,100756,1006,2023-05-03,5,0.302,0.598,1,1,5,386.7,0
22,100758,1006,2023-05-03,0,0.385,0.636,1,1,0,363.8,0
23,100800,1006,2023-05-03,4,0.323,0.886,1,1,4,316.5,0
24,100802,1006,2023-05-03,5,0.392,0.542,1,1,5,326.2,0
25,100804,1006,2023-05-03,2,0.327,0.74,0,0,7,394.1,0
26,100806,1006,2023-05-03,3,0.319,0.588,1,1,3,392.79999999999995,0
27,100808,1006,2023-05-03,2,0.339,0.866,1,1,2,398.8,0
28,100811,1006,2023-05-03,0,0.294,0.569,1,1,0,317.0,0
29,100812,1006,2023-05-03,2,0.383,0.686,0,0,4,377.2,0
30,100814,1006,2023-05-03,2,0.265,0.708,0,1,6,580.0,0
31,100817,1006,2023-05-03,6,0.279,0.787,0,0,1,578.0,0
32,100819,1006,2023-05-03,0,0.29,0.99,1,1,0,339.2,0
33,100821,1006,2023-05-03,7,0.262,0.836,1,1,7,353.3,0
34,100823,1006,2023-05-03,1,0.292,0.671,1,1,1,560.3000000000001,0
35,100825,1006,2023-05-03,2,0.283,0.986,1,1,2,418.6,0
36,100828,1006,2023-05-03,3,0.389,0.866,1,1,3,310.3,0
37,100830,1006,2023-05-03,6,0.315,0.954,1,1,6,339.8,0
38,100832,1006,2023-05-03,6,0.333,0.699,0,0,5,439.0,0
39,100834,1006,2023-05-03,4,0.338,0.595,1,1,4,554.6999999999999,0
40,100836,1006,2023-05-03,4,0.327,0.673,0,0,6,355.0,0
41,100838,1006,2023-05-03,3,0.305,0.736,0,0,4,407.3,0
42,100841,1006,2023-05-03,5,0.396,0.809,1,1,5,623.0,0
43,100843,1006,2023-05-03,1,0.341,0.892,1,0,1,415.5,0
44,100845,1006,2023-05-03,2,0.267,0.711,1,1,2,374.09999999999997,0
45,100847,1006,2023-05-03,3,0.304,0.978,1,1,3,338.6,0
46,100850,1006,2023-05-03,7,0.286,0.569,1,1,7,323.79999999999995,0
47,100851,1006,2023-05-03,0,0.251,0.674,1,1,0,351.3,0
48,100853,1006,2023-05-03,5,0.271,0.565,1,1,5,339.0,0
49,100855,1006,2023-05-03,3,0.286,0.512,1,1,3,354.2,0
50,100857,1006,2023-05-03,1,0.321,0.646,1,1,1,590.4000000000001,0
